sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119005,37,35,0,2024-12-13 01:43:15,2024-12-13.csv
500119048,53,29,24,2024-12-13 22:24:14,2024-12-13.csv
500101032,61,36,25,2024-12-13 22:27:15,2024-12-13.csv
500101032,61,53,8,2024-12-13 00:52:14,2024-12-13.csv
500119006,92,44,47,2024-12-13 03:41:14,2024-12-13.csv
500101032,61,53,8,2024-12-13 02:01:14,2024-12-13.csv
500101032,61,31,30,2024-12-13 21:58:15,2024-12-13.csv
500101032,61,48,13,2024-12-13 23:19:15,2024-12-13.csv
500101181,99,87,4,2024-12-13 21:48:15,2024-12-13.csv
500119006,92,33,58,2024-12-13 00:08:15,2024-12-13.csv
500119077,56,56,0,2024-12-13 14:20:20,2024-12-13.csv
500119070,48,47,1,2024-12-13 17:18:16,2024-12-13.csv
500119077,56,55,1,2024-12-13 15:33:15,2024-12-13.csv
500119046,40,37,3,2024-12-13 13:38:16,2024-12-13.csv
500119077,56,52,4,2024-12-13 15:54:16,2024-12-13.csv
500119057,48,42,5,2024-12-13 14:25:16,2024-12-13.csv
500119046,40,33,7,2024-12-13 14:28:17,2024-12-13.csv
500119057,48,40,7,2024-12-13 15:19:15,2024-12-13.csv
500119057,48,34,13,2024-12-13 13:57:16,2024-12-13.csv
500101181,99,82,17,2024-12-13 16:59:15,2024-12-13.csv
500119070,48,31,17,2024-12-13 16:47:16,2024-12-13.csv
500119077,56,39,17,2024-12-13 17:15:17,2024-12-13.csv
500101181,99,39,60,2024-12-13 15:38:15,2024-12-13.csv
500101022,99,34,64,2024-12-13 16:59:15,2024-12-13.csv
500119006,92,40,51,2024-12-13 07:29:15,2024-12-13.csv
500101181,99,84,7,2024-12-13 19:58:14,2024-12-13.csv
500119048,53,45,8,2024-12-13 17:48:15,2024-12-13.csv
500119070,48,37,11,2024-12-13 19:28:15,2024-12-13.csv
500119048,53,41,12,2024-12-13 18:48:15,2024-12-13.csv
500119045,45,32,13,2024-12-13 18:35:15,2024-12-13.csv
500119045,45,31,14,2024-12-13 20:05:16,2024-12-13.csv
500101181,99,76,15,2024-12-13 19:27:15,2024-12-13.csv
500101181,99,68,23,2024-12-13 19:12:15,2024-12-13.csv
500101022,99,46,24,2024-12-13 20:58:15,2024-12-13.csv
500101022,99,44,54,2024-12-13 17:48:15,2024-12-13.csv
500119068,66,42,0,2024-12-13 11:58:16,2024-12-13.csv
500119086,51,31,0,2024-12-13 11:01:18,2024-12-13.csv
500119067,42,29,1,2024-12-13 11:39:15,2024-12-13.csv
500101030,34,32,2,2024-12-13 09:14:15,2024-12-13.csv
500119049,99,66,2,2024-12-13 12:08:15,2024-12-13.csv
500119049,99,69,4,2024-12-13 10:08:15,2024-12-13.csv
500119090,40,31,8,2024-12-13 10:59:15,2024-12-13.csv
500119086,51,41,10,2024-12-13 09:08:15,2024-12-13.csv
500119086,51,32,13,2024-12-13 10:08:16,2024-12-13.csv
500119077,56,40,16,2024-12-13 10:47:15,2024-12-13.csv
500119077,56,39,17,2024-12-13 10:20:17,2024-12-13.csv
500119068,66,39,25,2024-12-13 09:38:14,2024-12-13.csv
500119077,56,29,27,2024-12-13 12:31:15,2024-12-13.csv
500119006,92,41,50,2024-12-13 02:19:15,2024-12-13.csv
500119070,48,39,9,2024-12-13 22:22:15,2024-12-13.csv
500101032,61,39,22,2024-12-13 22:30:15,2024-12-13.csv
500119006,92,45,46,2024-12-13 04:29:14,2024-12-13.csv
500119006,92,36,55,2024-12-13 01:39:15,2024-12-13.csv
500101032,61,53,8,2024-12-13 01:48:15,2024-12-13.csv
500101022,99,34,36,2024-12-13 22:07:15,2024-12-13.csv
500101032,61,54,7,2024-12-13 00:22:14,2024-12-13.csv
500119005,37,35,0,2024-12-13 00:53:15,2024-12-13.csv
500101032,61,54,6,2024-12-13 04:41:14,2024-12-13.csv
500119005,37,34,2,2024-12-13 21:36:15,2024-12-13.csv
500119057,48,46,1,2024-12-13 15:07:16,2024-12-13.csv
500119046,40,36,4,2024-12-13 13:13:15,2024-12-13.csv
500119077,56,52,4,2024-12-13 14:04:16,2024-12-13.csv
