sno,total,available_rent_bikes,available_return_bikes,infoTime
500119059,68,2,65,2024-10-23 00:08:18
500101032,61,58,3,2024-10-23 03:09:17
500101032,61,59,2,2024-10-23 22:43:17
500101032,61,56,5,2024-10-23 01:36:17
500119006,92,55,37,2024-10-23 21:33:18
500119048,53,53,0,2024-10-23 18:18:17
500119048,53,50,3,2024-10-23 18:56:20
500119048,53,49,4,2024-10-23 20:12:18
500119048,53,41,12,2024-10-23 17:28:18
500119077,56,42,14,2024-10-23 18:06:19
500119077,56,42,14,2024-10-23 18:26:19
500119077,56,39,17,2024-10-23 19:13:18
500119059,68,43,25,2024-10-23 18:18:18
500101032,61,14,47,2024-10-23 18:48:19
500119006,92,45,47,2024-10-23 20:25:18
500119006,92,44,48,2024-10-23 17:32:20
500119006,92,44,48,2024-10-23 20:07:18
500101032,61,3,58,2024-10-23 18:18:17
500119068,66,2,63,2024-10-23 19:08:17
500119068,66,0,65,2024-10-23 19:55:15
500119048,53,48,4,2024-10-23 06:21:17
500101032,61,50,11,2024-10-23 07:43:18
500119048,53,39,13,2024-10-23 07:32:17
500119048,53,36,16,2024-10-23 07:45:17
500119048,53,15,37,2024-10-23 08:48:17
500119006,92,51,39,2024-10-23 06:18:17
500119048,53,11,41,2024-10-23 08:58:20
500119059,68,17,50,2024-10-23 08:21:18
500119068,66,7,58,2024-10-23 08:15:19
500119006,92,13,77,2024-10-23 08:51:17
500119059,68,68,0,2024-10-23 15:30:16
500119068,66,60,1,2024-10-23 14:18:19
500119059,68,66,2,2024-10-23 16:04:14
500119059,68,63,4,2024-10-23 13:16:18
500119077,56,50,6,2024-10-23 16:44:19
500119077,56,37,18,2024-10-23 14:51:17
500119068,66,41,24,2024-10-23 16:18:25
500119068,66,40,25,2024-10-23 17:08:20
500119006,92,51,41,2024-10-23 16:59:19
500119006,92,47,45,2024-10-23 16:45:19
500119048,53,8,45,2024-10-23 15:16:19
500119006,92,46,46,2024-10-23 16:30:23
500119048,53,7,46,2024-10-23 15:37:21
500119048,53,0,52,2024-10-23 13:11:14
500119006,92,35,57,2024-10-23 15:24:18
500101032,61,2,59,2024-10-23 14:57:18
500101032,61,1,60,2024-10-23 15:08:17
500119006,92,17,75,2024-10-23 14:08:19
500119059,68,67,0,2024-10-23 12:58:19
500119077,56,45,10,2024-10-23 10:54:16
500119068,66,37,25,2024-10-23 11:17:18
500119068,66,37,25,2024-10-23 12:06:18
500101032,61,32,29,2024-10-23 12:26:19
500119077,56,20,35,2024-10-23 10:06:17
500101032,61,15,46,2024-10-23 10:36:18
500101032,61,11,50,2024-10-23 13:08:18
500119048,53,0,52,2024-10-23 09:47:21
500119006,92,17,75,2024-10-23 13:08:19
500119006,92,16,76,2024-10-23 11:10:19
500119048,53,50,3,2024-10-23 22:43:17
500101032,61,55,6,2024-10-23 00:59:17
500119077,56,26,30,2024-10-23 22:58:17
500101032,61,53,8,2024-10-23 21:08:19
500101032,61,50,11,2024-10-23 20:46:17
500119077,56,41,15,2024-10-23 18:36:18
500119077,56,40,16,2024-10-23 18:46:19
500119059,68,48,20,2024-10-23 17:35:20
500119077,56,35,21,2024-10-23 21:07:19
500101032,61,23,38,2024-10-23 17:38:19
500119068,66,27,38,2024-10-23 17:28:18
500101032,61,12,49,2024-10-23 18:58:20
500119006,92,38,54,2024-10-23 19:20:19
500119068,66,3,62,2024-10-23 19:38:19
