sno,total,available_rent_bikes,available_return_bikes,infoTime
500101181,99,11,87,2024-09-11 01:21:17
500101032,61,51,10,2024-09-11 01:21:17
500101181,99,12,86,2024-09-11 00:55:20
500101181,99,9,89,2024-09-11 01:43:17
500101022,99,27,59,2024-09-11 00:54:17
500101181,99,20,78,2024-09-11 00:08:17
500101181,99,13,85,2024-09-11 00:40:17
500119006,92,68,24,2024-09-11 00:38:16
500119049,99,0,99,2024-09-11 00:16:15
500119096,99,28,71,2024-09-11 00:13:16
500119049,99,3,96,2024-09-11 02:34:17
500101022,99,27,59,2024-09-11 02:34:17
500119059,68,0,68,2024-09-11 19:55:15
500101181,99,29,70,2024-09-11 21:57:17
500119048,53,41,12,2024-09-11 21:55:20
500119049,99,0,99,2024-09-11 21:37:15
500119006,92,64,27,2024-09-11 21:37:17
500101022,99,4,70,2024-09-11 22:27:17
500119049,99,0,99,2024-09-11 23:06:15
500101181,99,98,1,2024-09-11 17:37:15
500101181,99,98,1,2024-09-11 19:57:19
500101022,99,34,3,2024-09-11 20:27:17
500119048,53,49,4,2024-09-11 21:17:18
500119048,53,48,5,2024-09-11 19:35:19
500101022,99,29,8,2024-09-11 20:07:19
500101181,99,90,9,2024-09-11 19:37:18
500119048,53,43,10,2024-09-11 18:55:21
500101181,99,82,17,2024-09-11 17:57:18
500101022,99,18,19,2024-09-11 20:47:17
500101032,61,33,28,2024-09-11 21:26:16
500101022,99,56,43,2024-09-11 17:27:17
500119077,56,13,43,2024-09-11 19:06:20
500119049,99,21,45,2024-09-11 17:47:18
500119068,66,3,49,2024-09-11 17:27:17
500119077,56,7,49,2024-09-11 19:24:18
500119077,56,4,49,2024-09-11 17:27:17
500119077,56,6,50,2024-09-11 19:28:19
500101032,61,10,51,2024-09-11 19:26:17
500101032,61,10,51,2024-09-11 19:47:16
500119077,56,2,54,2024-09-11 17:55:21
500101032,61,1,60,2024-09-11 18:17:18
500101032,61,0,61,2024-09-11 18:27:18
500101032,61,0,61,2024-09-11 18:57:15
500119068,66,2,62,2024-09-11 17:56:15
500119068,66,0,64,2024-09-11 17:37:19
500119068,66,0,64,2024-09-11 18:23:15
500119059,68,1,67,2024-09-11 17:57:18
500101181,99,31,68,2024-09-11 21:17:18
500119096,99,8,91,2024-09-11 21:17:18
500119096,99,4,95,2024-09-11 17:29:19
500119049,99,3,96,2024-09-11 19:57:19
500119096,99,3,96,2024-09-11 18:04:19
500119049,99,0,99,2024-09-11 20:05:16
500119096,99,0,99,2024-09-11 18:34:15
500101032,61,48,13,2024-09-11 22:37:17
500101181,99,1,98,2024-09-11 22:47:17
500119048,53,21,32,2024-09-11 22:46:17
500119049,99,3,96,2024-09-11 22:55:21
500119006,92,72,19,2024-09-11 22:48:15
500101181,99,0,99,2024-09-11 23:57:17
500101032,61,49,12,2024-09-11 23:54:17
500119048,53,0,53,2024-09-11 23:23:15
500119049,99,1,98,2024-09-11 23:27:16
500119049,99,1,98,2024-09-11 23:29:14
500101032,61,50,11,2024-09-11 23:36:17
500101032,61,51,9,2024-09-11 07:26:17
500101022,99,89,10,2024-09-11 06:57:18
500101032,61,47,13,2024-09-11 07:16:18
500101022,99,82,17,2024-09-11 07:07:18
500119006,92,68,24,2024-09-11 06:47:17
500101022,99,58,28,2024-09-11 05:05:18
500119077,56,26,30,2024-09-11 08:18:18
500119006,92,61,31,2024-09-11 07:17:19
500101181,99,62,36,2024-09-11 07:48:18
500101022,99,60,39,2024-09-11 06:38:17
500119068,66,24,41,2024-09-11 08:47:18
500101032,61,12,48,2024-09-11 08:08:19
500119006,92,43,49,2024-09-11 08:15:19
500119048,53,1,52,2024-09-11 08:18:18
500101032,61,8,53,2024-09-11 08:28:17
500101032,61,2,59,2024-09-11 08:48:15
500101032,61,1,60,2024-09-11 08:38:18
500119059,68,8,60,2024-09-11 08:48:17
500101181,99,26,72,2024-09-11 06:58:20
500119049,99,18,81,2024-09-11 08:48:17
500119049,99,13,86,2024-09-11 08:38:18
500119049,99,9,90,2024-09-11 07:38:18
500101022,99,6,92,2024-09-11 08:08:19
500119096,99,7,92,2024-09-11 08:57:19
500101181,99,1,97,2024-09-11 08:18:18
500101022,99,0,98,2024-09-11 08:48:17
500101022,99,0,98,2024-09-11 07:57:19
500119077,56,49,2,2024-09-11 13:49:20
500119068,66,38,4,2024-09-11 14:28:16
500119068,66,38,4,2024-09-11 14:37:19
500119077,56,47,4,2024-09-11 13:35:19
500119049,99,60,5,2024-09-11 14:33:18
500119077,56,45,8,2024-09-11 15:08:18
500119077,56,44,9,2024-09-11 14:46:18
500101181,99,88,11,2024-09-11 16:28:18
500119048,53,38,15,2024-09-11 16:37:17
500101032,61,40,21,2024-09-11 16:28:18
500119048,53,32,21,2024-09-11 16:26:18
500101032,61,38,23,2024-09-11 17:05:23
500119048,53,21,32,2024-09-11 16:07:19
500119068,66,6,36,2024-09-11 15:38:18
500119006,92,55,37,2024-09-11 16:25:19
500119006,92,53,39,2024-09-11 16:37:17
500101032,61,21,40,2024-09-11 13:46:18
500101032,61,21,40,2024-09-11 15:06:17
500101181,99,56,43,2024-09-11 17:07:21
500119077,56,4,49,2024-09-11 17:18:18
500119006,92,42,50,2024-09-11 17:07:21
500101022,99,48,51,2024-09-11 15:48:17
500119048,53,1,52,2024-09-11 14:23:15
500119059,68,15,53,2024-09-11 15:53:16
500101022,99,45,54,2024-09-11 16:48:17
500101022,99,44,55,2024-09-11 15:37:18
500119059,68,13,55,2024-09-11 16:08:18
500101022,99,43,56,2024-09-11 16:58:18
500119059,68,9,59,2024-09-11 16:17:18
500119059,68,7,61,2024-09-11 14:31:18
500119049,99,3,63,2024-09-11 15:54:18
500119049,99,2,63,2024-09-11 15:28:18
500119049,99,0,66,2024-09-11 16:38:17
500119059,68,2,66,2024-09-11 15:18:16
500101022,99,14,85,2024-09-11 15:18:16
500101181,99,8,90,2024-09-11 14:58:18
500101022,99,7,91,2024-09-11 13:28:16
500119006,92,1,91,2024-09-11 13:09:17
500119006,92,1,91,2024-09-11 13:26:16
500101022,99,4,94,2024-09-11 14:07:18
500119096,99,4,95,2024-09-11 16:37:17
500101022,99,2,96,2024-09-11 14:17:17
500119096,99,3,96,2024-09-11 13:40:19
500101022,99,1,97,2024-09-11 13:15:19
500119096,99,2,97,2024-09-11 13:28:17
500119096,99,2,97,2024-09-11 14:29:18
500101022,99,1,98,2024-09-11 15:07:20
500119096,99,1,98,2024-09-11 13:13:18
500119068,66,38,0,2024-09-11 11:58:17
500119049,99,63,1,2024-09-11 11:38:17
500119049,99,61,3,2024-09-11 10:38:22
500119049,99,57,7,2024-09-11 10:56:18
500119068,66,28,10,2024-09-11 11:38:17
500119068,66,26,12,2024-09-11 11:48:18
500119068,66,23,15,2024-09-11 10:46:18
