sno,total,available_rent_bikes,available_return_bikes,infoTime
500101022,99,21,59,2024-11-06 04:13:15
500119077,56,1,54,2024-11-06 23:21:14
500101181,99,37,46,2024-11-06 23:37:14
500119096,99,35,64,2024-11-06 23:41:15
500101032,61,61,0,2024-11-06 23:59:15
500119048,53,34,19,2024-11-06 01:19:14
500101181,99,32,47,2024-11-06 03:08:14
500119006,92,67,25,2024-11-06 01:57:15
500119049,99,0,99,2024-11-06 22:44:16
500119048,53,7,46,2024-11-06 23:56:15
500119096,99,31,68,2024-11-06 22:56:15
500119006,92,57,34,2024-11-06 23:04:15
500119068,66,39,6,2024-11-06 16:30:16
500101181,99,86,8,2024-11-06 17:08:15
500119077,56,38,8,2024-11-06 16:47:15
500119077,56,36,10,2024-11-06 15:08:15
500119068,66,26,19,2024-11-06 17:07:15
500119068,66,13,20,2024-11-06 13:48:15
500119068,66,10,23,2024-11-06 13:28:14
500119068,66,8,25,2024-11-06 13:18:15
500101022,99,71,28,2024-11-06 16:08:15
500119048,53,19,34,2024-11-06 16:08:14
500119048,53,19,34,2024-11-06 16:15:15
500119059,68,32,36,2024-11-06 17:06:15
500119048,53,11,42,2024-11-06 15:28:14
500119059,68,24,44,2024-11-06 14:08:15
500119059,68,17,51,2024-11-06 15:18:15
500101032,61,8,53,2024-11-06 16:27:15
500119048,53,0,53,2024-11-06 13:28:14
500119048,53,0,53,2024-11-06 13:46:15
500101032,61,4,57,2024-11-06 14:58:14
500119006,92,16,75,2024-11-06 17:17:14
500101022,99,20,79,2024-11-06 15:18:15
500119006,92,7,85,2024-11-06 14:18:14
500101181,99,8,86,2024-11-06 14:58:14
500101181,99,3,91,2024-11-06 14:07:15
500119006,92,0,92,2024-11-06 15:46:15
500101022,99,6,93,2024-11-06 14:46:14
500119096,99,4,95,2024-11-06 16:45:16
500119096,99,3,96,2024-11-06 15:56:15
500119049,99,1,98,2024-11-06 23:27:15
500101022,99,25,55,2024-11-06 00:23:14
500101032,61,61,0,2024-11-06 00:09:14
500119096,99,46,53,2024-11-06 00:47:14
500119068,66,33,0,2024-11-06 11:08:15
500119068,66,31,2,2024-11-06 11:37:15
500119049,99,64,9,2024-11-06 11:48:15
500119077,56,35,11,2024-11-06 13:08:14
500119077,56,19,27,2024-11-06 09:24:15
500119068,66,36,30,2024-11-06 09:58:15
500119059,68,37,31,2024-11-06 11:58:15
500119068,66,2,31,2024-11-06 12:33:15
500119068,66,21,33,2024-11-06 10:08:14
500119048,53,9,44,2024-11-06 12:28:15
500119068,66,22,44,2024-11-06 09:48:14
500119049,99,25,48,2024-11-06 12:28:15
500119048,53,4,49,2024-11-06 12:48:14
500119048,53,0,53,2024-11-06 11:17:15
500101032,61,2,59,2024-11-06 11:38:14
500101032,61,2,59,2024-11-06 10:13:15
500101032,61,1,60,2024-11-06 10:44:15
500101022,99,21,78,2024-11-06 12:28:15
500119006,92,8,82,2024-11-06 09:14:15
500101022,99,0,99,2024-11-06 09:56:14
500101181,99,84,0,2024-11-06 20:38:15
500119048,53,49,4,2024-11-06 19:07:15
500119048,53,45,8,2024-11-06 19:13:15
500101181,99,74,10,2024-11-06 21:17:15
500101022,99,36,12,2024-11-06 20:48:14
500119068,66,33,12,2024-11-06 17:48:15
500119077,56,36,19,2024-11-06 18:38:15
500119049,99,68,31,2024-11-06 18:48:15
500119049,99,67,32,2024-11-06 18:17:15
500119068,66,24,42,2024-11-06 18:58:15
500119068,66,4,53,2024-11-06 18:18:14
500101032,61,4,57,2024-11-06 19:26:15
500101032,61,0,61,2024-11-06 18:38:16
500101032,61,0,61,2024-11-06 18:07:15
500119068,66,2,64,2024-11-06 19:37:14
500119049,99,34,65,2024-11-06 20:38:15
500119059,68,3,65,2024-11-06 19:37:14
500119006,92,9,82,2024-11-06 17:57:15
500119006,92,9,82,2024-11-06 18:05:17
500119096,99,15,84,2024-11-06 19:18:14
500119006,92,1,90,2024-11-06 18:38:15
500119049,99,2,97,2024-11-06 21:28:14
500119077,56,41,13,2024-11-06 08:28:15
500119048,53,31,22,2024-11-06 06:29:15
500101181,99,62,29,2024-11-06 07:48:15
500119006,92,54,36,2024-11-06 08:03:15
500101022,99,56,40,2024-11-06 07:18:15
500101181,99,29,50,2024-11-06 06:00:16
500119077,56,3,51,2024-11-06 07:37:14
500101181,99,27,52,2024-11-06 06:31:15
500119068,66,5,61,2024-11-06 06:46:14
500101022,99,24,72,2024-11-06 07:39:15
500101181,99,1,94,2024-11-06 08:55:16
500101181,99,49,45,2024-11-06 23:47:15
500119006,92,66,26,2024-11-06 03:15:14
500119006,92,66,26,2024-11-06 02:10:15
500101022,99,2,49,2024-11-06 22:37:15
500101181,99,6,77,2024-11-06 22:37:14
500101032,61,61,0,2024-11-06 22:35:16
500119048,53,35,18,2024-11-06 00:32:14
500101032,61,60,1,2024-11-06 23:06:15
500119049,99,73,0,2024-11-06 14:22:15
500119077,56,45,1,2024-11-06 15:48:15
500119049,99,71,2,2024-11-06 14:36:15
500119049,99,71,2,2024-11-06 15:43:15
500101022,99,90,9,2024-11-06 17:18:15
500119068,66,31,14,2024-11-06 16:48:15
500119077,56,31,15,2024-11-06 15:18:15
500119068,66,24,16,2024-11-06 15:25:15
500119049,99,56,17,2024-11-06 15:28:14
500119048,53,34,19,2024-11-06 16:46:15
500101181,99,73,21,2024-11-06 16:48:15
500119068,66,20,25,2024-11-06 17:18:15
500119048,53,18,35,2024-11-06 16:27:15
500119048,53,11,42,2024-11-06 15:38:14
500119059,68,20,48,2024-11-06 15:28:14
500119048,53,0,53,2024-11-06 13:18:15
500101032,61,5,56,2024-11-06 13:48:15
500101032,61,4,57,2024-11-06 13:27:15
500101032,61,3,58,2024-11-06 14:18:14
500101032,61,2,59,2024-11-06 13:18:15
500119006,92,21,70,2024-11-06 16:16:15
500101181,99,11,83,2024-11-06 14:48:14
500101181,99,9,85,2024-11-06 15:28:14
500119096,99,8,91,2024-11-06 14:23:14
500101022,99,5,94,2024-11-06 14:36:14
500119096,99,5,94,2024-11-06 16:58:15
500101181,99,55,28,2024-11-06 21:58:14
500101022,99,20,60,2024-11-06 00:35:15
500101181,99,40,39,2024-11-06 00:07:15
500119068,66,32,1,2024-11-06 10:38:15
500119068,66,23,10,2024-11-06 10:42:15
500119077,56,36,10,2024-11-06 11:18:14
500119049,99,52,21,2024-11-06 10:08:15
500119077,56,19,27,2024-11-06 09:36:15
500119059,68,40,28,2024-11-06 09:57:15
500119059,68,38,30,2024-11-06 09:46:14
500119049,99,32,41,2024-11-06 13:08:15
500101181,99,50,44,2024-11-06 12:48:14
500119059,68,22,46,2024-11-06 13:06:15
500119049,99,26,47,2024-11-06 12:47:14
500119048,53,1,52,2024-11-06 12:57:15
500119006,92,35,57,2024-11-06 11:58:15
500101032,61,2,59,2024-11-06 11:58:14
500101032,61,1,60,2024-11-06 11:13:15
500119006,92,29,63,2024-11-06 12:16:15
500119096,99,17,82,2024-11-06 11:40:16
500119096,99,16,83,2024-11-06 11:53:15
500119006,92,2,88,2024-11-06 10:38:14
500119006,92,2,88,2024-11-06 09:38:15
500119006,92,0,90,2024-11-06 10:18:14
500101181,99,3,92,2024-11-06 10:48:15
500101022,99,0,99,2024-11-06 09:08:16
500101032,61,57,4,2024-11-06 01:55:16
500101022,99,46,2,2024-11-06 20:28:14
500101022,99,47,4,2024-11-06 21:07:14
500119077,56,49,6,2024-11-06 19:35:15
500101181,99,88,7,2024-11-06 17:38:14
500101181,99,75,9,2024-11-06 21:07:14
500101022,99,41,10,2024-11-06 21:18:14
500101032,61,50,11,2024-11-06 21:18:14
500101181,99,84,11,2024-11-06 17:58:16
500101032,61,46,15,2024-11-06 20:58:15
500101181,99,69,15,2024-11-06 19:47:15
500119048,53,38,15,2024-11-06 19:55:16
500119048,53,34,19,2024-11-06 20:58:14
500119048,53,34,19,2024-11-06 21:13:15
500101032,61,41,20,2024-11-06 20:38:15
500101022,99,18,22,2024-11-06 19:28:14
500119068,66,20,25,2024-11-06 17:38:14
500101181,99,66,29,2024-11-06 18:08:16
500119068,66,33,33,2024-11-06 18:38:15
500101032,61,6,55,2024-11-06 18:44:15
500119006,92,12,79,2024-11-06 17:36:15
500119049,99,12,87,2024-11-06 20:58:15
500119096,99,11,88,2024-11-06 18:58:15
500119096,99,8,91,2024-11-06 18:48:15
500119059,68,24,44,2024-11-06 08:47:14
500119068,66,18,48,2024-11-06 08:25:16
500119077,56,2,52,2024-11-06 07:24:15
500101022,99,17,63,2024-11-06 06:28:15
500101181,99,15,64,2024-11-06 06:56:15
500101181,99,10,69,2024-11-06 07:08:15
500119049,99,25,71,2024-11-06 08:17:15
500119049,99,21,75,2024-11-06 08:08:15
500119049,99,6,90,2024-11-06 07:28:15
500119006,92,43,48,2024-11-06 22:27:15
500119068,66,6,60,2024-11-06 03:22:15
500101032,61,61,0,2024-11-06 23:29:15
500101032,61,58,3,2024-11-06 02:01:15
500119049,99,1,95,2024-11-06 01:30:16
500119096,99,48,51,2024-11-06 01:45:15
500101022,99,6,45,2024-11-06 22:08:15
500119048,53,25,28,2024-11-06 22:07:15
500119006,92,37,54,2024-11-06 22:06:15
500101022,99,3,48,2024-11-06 22:48:14
500101181,99,5,78,2024-11-06 22:48:14
500101022,99,9,71,2024-11-06 01:15:15
500101022,99,3,48,2024-11-06 23:08:14
500119048,53,53,0,2024-11-06 17:08:15
500119068,66,33,0,2024-11-06 14:43:15
500101022,99,98,1,2024-11-06 16:58:15
500119068,66,30,3,2024-11-06 14:38:15
500119049,99,66,7,2024-11-06 13:58:15
500119068,66,37,8,2024-11-06 16:28:15
500119068,66,25,15,2024-11-06 15:08:15
500119068,66,22,18,2024-11-06 15:48:15
500119049,99,46,27,2024-11-06 16:38:15
500101032,61,30,31,2024-11-06 17:18:15
500119059,68,35,33,2024-11-06 16:17:14
500119059,68,24,44,2024-11-06 13:54:16
500101032,61,5,56,2024-11-06 13:38:14
500101032,61,4,57,2024-11-06 15:08:14
500101032,61,1,60,2024-11-06 15:28:15
500119006,92,17,74,2024-11-06 17:08:15
500101181,99,15,79,2024-11-06 15:18:15
500101181,99,9,85,2024-11-06 13:48:15
500119006,92,5,87,2024-11-06 15:07:14
