sno,total,available_rent_bikes,available_return_bikes,infoTime
500119006,92,43,49,2024-10-08 02:56:17
500119049,99,27,59,2024-10-08 03:14:17
500119096,99,27,70,2024-10-08 03:35:17
500119009,30,29,0,2024-10-08 06:17:15
500119048,53,53,0,2024-10-08 01:31:14
500101032,61,58,1,2024-10-08 06:25:15
500101181,99,95,1,2024-10-08 06:26:14
500119005,37,36,1,2024-10-08 02:33:17
500119070,48,47,1,2024-10-08 06:21:15
500119043,42,37,2,2024-10-08 06:24:16
500119045,45,38,7,2024-10-08 06:28:16
500101022,99,60,13,2024-10-08 06:27:16
500119077,56,39,15,2024-10-08 05:12:17
500119085,14,0,14,2024-10-08 05:11:14
500119092,17,0,17,2024-10-08 00:50:16
500119072,12,1,11,2024-10-08 02:45:14
500119053,19,1,17,2024-10-08 06:18:14
500119083,18,1,17,2024-10-08 05:34:14
500119066,20,1,19,2024-10-08 06:16:15
500119076,22,1,21,2024-10-08 06:29:17
500101035,24,1,23,2024-10-08 06:28:16
500119084,40,2,38,2024-10-08 00:02:18
500119059,68,2,66,2024-10-08 06:20:18
500119081,26,2,24,2024-10-08 02:39:16
500119090,40,3,35,2024-10-08 06:01:16
500101038,27,3,24,2024-10-08 04:23:16
500119058,33,3,29,2024-10-08 06:22:17
500119061,39,4,35,2024-10-08 02:39:16
500119060,12,4,8,2024-10-08 01:21:18
500101034,18,4,14,2024-10-08 05:58:16
500119091,18,4,14,2024-10-08 05:54:17
500119054,30,4,26,2024-10-08 01:28:17
500101029,15,5,10,2024-10-08 06:26:17
500119047,30,5,25,2024-10-08 00:49:19
500119065,10,6,4,2024-10-08 05:35:17
500119062,12,6,5,2024-10-08 05:46:17
500119087,30,6,23,2024-10-08 06:03:17
500119050,31,6,25,2024-10-08 06:28:17
500119046,40,6,34,2024-10-08 02:19:16
500119089,24,8,16,2024-10-08 02:14:17
500119052,26,8,18,2024-10-08 02:04:18
500119056,10,10,0,2024-10-08 02:56:14
500119080,10,10,0,2024-10-08 04:36:13
500119051,27,10,17,2024-10-08 00:29:17
500119086,51,10,41,2024-10-08 06:28:16
500119074,30,11,19,2024-10-08 01:28:17
500106003,12,12,0,2024-10-08 05:32:15
500106004,12,12,0,2024-10-08 06:28:16
500101037,20,12,7,2024-10-08 00:38:17
500119044,35,12,23,2024-10-08 01:05:18
500119075,48,13,35,2024-10-08 06:06:17
500119064,28,13,15,2024-10-08 00:40:19
500119068,66,14,43,2024-10-08 05:39:16
500101028,20,14,6,2024-10-08 05:08:16
500101023,25,14,11,2024-10-08 05:56:17
500119055,28,14,13,2024-10-08 06:16:17
500101042,15,15,0,2024-10-08 06:26:14
500119079,19,15,4,2024-10-08 06:03:17
500101040,25,15,10,2024-10-08 00:54:19
500119069,26,15,11,2024-10-08 00:48:17
500119095,33,15,17,2024-10-08 01:29:17
500119088,35,16,19,2024-10-08 06:26:17
500119094,40,17,4,2024-10-08 05:53:16
500119067,42,17,25,2024-10-08 01:26:18
500101031,20,18,2,2024-10-08 06:24:17
500119057,48,18,30,2024-10-08 06:03:16
500101030,34,21,12,2024-10-08 06:11:16
500119007,35,24,11,2024-10-08 06:17:17
500101033,46,25,8,2024-10-08 06:27:16
500101041,41,25,16,2024-10-08 06:18:17
