sno,total,available_rent_bikes,available_return_bikes,infoTime
500101042,15,0,0,2024-10-31 08:38:14
500101031,20,0,0,2024-10-31 02:30:15
500119075,48,0,0,2024-10-31 09:27:15
500119056,10,0,0,2024-10-31 02:19:15
500119065,10,0,0,2024-10-31 02:19:15
500119078,10,0,0,2024-10-31 02:19:15
500119053,19,0,0,2024-10-31 02:19:15
500119052,26,0,0,2024-10-31 02:19:15
500119063,27,0,0,2024-10-31 02:19:15
500119008,10,0,0,2024-10-31 02:19:14
500119049,99,0,0,2024-10-31 02:19:14
500119060,12,0,0,2024-10-31 02:19:15
500119087,30,0,0,2024-10-31 02:19:15
500119049,99,0,0,2024-10-31 09:58:14
500101042,15,13,2,2024-10-31 00:50:16
500119079,19,18,1,2024-10-31 00:55:17
500119089,24,8,16,2024-10-31 01:25:16
500119078,10,1,9,2024-10-31 01:46:15
500119079,19,19,0,2024-10-31 01:42:15
500119071,34,5,29,2024-10-31 00:06:15
500119009,30,4,23,2024-10-31 01:54:15
500119089,24,0,0,2024-10-31 08:17:14
500106004,12,12,0,2024-10-31 02:18:15
500119048,53,52,1,2024-10-31 02:17:42
500119008,10,7,3,2024-10-31 02:17:42
500119060,12,4,8,2024-10-31 02:17:42
500119078,10,1,9,2024-10-31 02:17:42
500119059,68,56,12,2024-10-31 02:17:42
500119089,24,8,16,2024-10-31 02:17:42
500119083,18,0,18,2024-10-31 02:17:42
500101035,24,0,0,2024-10-31 06:07:14
500119093,36,0,0,2024-10-31 05:33:15
500119005,37,0,0,2024-10-31 02:24:15
500119079,19,0,0,2024-10-31 02:19:14
500119007,35,0,0,2024-10-31 02:19:15
500119084,40,0,0,2024-10-31 02:19:15
500119061,39,0,0,2024-10-31 02:19:14
500119057,48,0,0,2024-10-31 02:19:14
500119049,99,0,0,2024-10-31 09:46:14
500119065,10,2,8,2024-10-31 01:08:14
500101030,34,20,14,2024-10-31 00:01:15
500119070,48,47,0,2024-10-31 00:16:15
500101022,99,67,8,2024-10-31 00:35:16
500119070,48,46,1,2024-10-31 00:02:15
500119054,30,0,0,2024-10-31 07:58:15
500119061,39,0,0,2024-10-31 05:11:14
500119096,99,39,60,2024-10-31 02:17:42
500119006,92,51,41,2024-10-31 02:17:42
500119056,10,10,0,2024-10-31 02:17:42
500119046,40,38,2,2024-10-31 02:17:42
500101036,20,17,3,2024-10-31 02:15:47
500101023,25,22,3,2024-10-31 02:15:47
500119061,39,33,4,2024-10-31 02:17:42
500119076,22,14,8,2024-10-31 02:17:42
500101022,99,70,8,2024-10-31 02:15:47
500119057,48,39,9,2024-10-31 02:17:42
500119069,26,7,19,2024-10-31 02:17:42
500101035,24,0,24,2024-10-31 02:17:15
500119095,33,6,27,2024-10-31 02:17:42
500119087,30,2,28,2024-10-31 02:17:42
500101034,18,0,0,2024-10-31 04:52:14
500101041,41,0,0,2024-10-31 05:37:15
500101037,20,0,0,2024-10-31 02:22:16
500101038,27,0,0,2024-10-31 02:22:16
500119094,40,0,0,2024-10-31 02:19:14
500119048,53,0,0,2024-10-31 02:19:15
500119096,99,0,0,2024-10-31 02:19:15
500119093,36,0,0,2024-10-31 02:19:14
500119054,30,0,0,2024-10-31 02:19:15
500119006,92,0,0,2024-10-31 02:19:15
500101042,15,0,0,2024-10-31 02:22:15
500101031,20,0,0,2024-10-31 02:22:16
500119071,34,0,34,2024-10-31 00:13:16
500119067,42,0,42,2024-10-31 00:09:14
500119055,28,3,25,2024-10-31 00:02:15
500119054,30,12,18,2024-10-31 01:11:15
500119075,48,2,45,2024-10-31 01:20:17
500119058,33,9,24,2024-10-31 01:43:15
500119079,19,17,2,2024-10-31 00:46:14
500119009,30,3,24,2024-10-31 00:01:15
500119005,37,4,24,2024-10-31 00:06:15
500119048,53,52,1,2024-10-31 00:17:15
500119085,14,10,4,2024-10-31 00:28:15
500119094,40,22,1,2024-10-31 02:17:42
500119047,30,12,18,2024-10-31 02:17:42
500119054,30,12,18,2024-10-31 02:17:42
500119058,33,9,24,2024-10-31 02:17:42
500119052,26,0,26,2024-10-31 02:17:42
500119051,27,0,27,2024-10-31 02:17:42
500119050,31,0,30,2024-10-31 02:17:42
500119082,10,0,0,2024-10-31 16:06:15
500119089,24,0,0,2024-10-31 08:30:16
500119059,68,0,0,2024-10-31 05:50:16
500119090,40,0,0,2024-10-31 02:19:14
500119045,45,0,0,2024-10-31 02:19:15
500119070,48,0,0,2024-10-31 02:19:15
500106003,12,0,0,2024-10-31 02:22:15
500119095,33,0,0,2024-10-31 02:19:15
500119059,68,0,0,2024-10-31 02:19:15
500119057,48,0,0,2024-10-31 09:08:15
500101038,27,0,27,2024-10-31 00:01:15
500101032,61,39,21,2024-10-31 00:27:14
500101022,99,69,9,2024-10-31 01:21:15
500119080,10,10,0,2024-10-31 01:47:15
500101181,99,95,1,2024-10-31 01:48:14
500119053,19,1,18,2024-10-31 00:28:14
500119088,35,2,33,2024-10-31 00:18:15
500101042,15,13,2,2024-10-31 01:55:17
500101022,99,66,10,2024-10-31 01:08:14
500101040,25,24,0,2024-10-31 02:17:15
500119062,12,10,2,2024-10-31 02:17:42
500119072,12,0,12,2024-10-31 02:17:42
500101030,34,20,14,2024-10-31 02:15:47
500119053,19,0,19,2024-10-31 02:17:42
500119055,28,3,25,2024-10-31 02:17:42
500119064,28,0,28,2024-10-31 02:17:42
500119008,10,0,0,2024-10-31 07:15:15
500119087,30,0,0,2024-10-31 11:03:15
500119050,31,0,0,2024-10-31 11:12:15
500101033,46,0,0,2024-10-31 08:34:15
500119057,48,0,0,2024-10-31 09:21:15
500101022,99,0,0,2024-10-31 02:22:16
500119077,56,0,0,2024-10-31 02:19:14
500119083,18,0,0,2024-10-31 02:19:15
500119076,22,0,0,2024-10-31 02:19:15
500119058,33,0,0,2024-10-31 02:19:15
500101035,24,0,0,2024-10-31 02:22:16
500119050,31,0,0,2024-10-31 02:19:14
500119074,30,0,0,2024-10-31 02:19:15
500101023,25,0,0,2024-10-31 10:28:15
500119057,48,0,0,2024-10-31 09:15:15
500119053,19,0,19,2024-10-31 01:18:15
500119009,30,5,22,2024-10-31 00:34:15
500119085,14,12,2,2024-10-31 00:29:15
500119048,53,52,1,2024-10-31 00:19:14
500119088,35,5,30,2024-10-31 01:27:15
500101042,15,15,0,2024-10-31 00:03:15
500101039,28,17,9,2024-10-31 00:30:15
500119082,10,0,0,2024-10-31 15:57:15
500101181,99,95,2,2024-10-31 01:53:14
500119074,30,0,0,2024-10-31 05:18:15
500119061,39,0,0,2024-10-31 05:08:14
500119071,34,0,34,2024-10-31 02:17:42
500119090,40,0,40,2024-10-31 02:17:42
500101042,15,14,1,2024-10-31 02:15:47
500101181,99,95,2,2024-10-31 02:15:47
500101029,15,6,9,2024-10-31 02:15:47
500101033,46,36,10,2024-10-31 02:15:47
500101034,18,4,14,2024-10-31 02:15:47
500119063,27,11,16,2024-10-31 02:17:42
500119007,35,16,19,2024-10-31 02:17:42
500119074,30,6,24,2024-10-31 02:17:42
500119060,12,0,0,2024-10-31 05:47:15
500119095,33,0,0,2024-10-31 10:10:16
500119085,14,0,0,2024-10-31 02:19:14
500119091,18,0,0,2024-10-31 02:19:14
500119043,42,0,0,2024-10-31 02:19:14
500119067,42,0,0,2024-10-31 02:19:15
500101028,20,0,0,2024-10-31 02:22:16
500101032,61,0,0,2024-10-31 02:22:16
500101037,20,3,17,2024-10-31 00:39:15
500119080,10,9,1,2024-10-31 00:19:15
500101022,99,74,1,2024-10-31 00:04:14
500101022,99,73,2,2024-10-31 00:17:14
500101031,20,16,4,2024-10-31 01:59:15
500119075,48,2,45,2024-10-31 02:17:42
500106003,12,12,0,2024-10-31 02:18:15
500119070,48,47,0,2024-10-31 02:17:42
500119092,17,16,1,2024-10-31 02:17:42
500119044,35,27,8,2024-10-31 02:17:42
500119065,10,1,9,2024-10-31 02:17:42
500119093,36,25,11,2024-10-31 02:17:42
500119009,30,4,23,2024-10-31 02:17:42
500119081,26,0,0,2024-10-31 06:59:15
500119074,30,0,0,2024-10-31 05:19:15
500119061,39,0,0,2024-10-31 05:39:15
500119049,99,0,0,2024-10-31 10:17:15
500101181,99,0,0,2024-10-31 02:22:16
500119080,10,0,0,2024-10-31 02:19:14
500119069,26,0,0,2024-10-31 02:19:15
500119055,28,0,0,2024-10-31 02:19:15
