sno,total,available_rent_bikes,available_return_bikes,infoTime
500101022,99,0,73,2024-09-13 00:08:15
500101032,61,58,3,2024-09-13 00:16:17
500101181,99,0,98,2024-09-13 00:35:14
500101181,99,1,97,2024-09-13 00:52:14
500119006,92,31,61,2024-09-13 00:14:16
500119049,99,0,98,2024-09-13 00:08:15
500119049,99,0,98,2024-09-13 00:18:15
500119096,99,26,73,2024-09-13 00:46:16
500101032,61,61,0,2024-09-13 01:22:15
500119006,92,2,90,2024-09-13 22:08:18
500101181,99,87,11,2024-09-13 22:08:18
500119049,99,0,98,2024-09-13 03:24:15
500119049,99,1,98,2024-09-13 21:40:17
500119006,92,3,89,2024-09-13 21:40:19
500101022,99,5,49,2024-09-13 22:58:19
500119049,99,0,99,2024-09-13 23:12:14
500101022,99,2,52,2024-09-13 23:25:16
500119048,53,3,50,2024-09-13 23:11:17
500101022,99,99,0,2024-09-13 15:18:17
500101181,99,97,0,2024-09-13 15:28:15
500119049,99,84,0,2024-09-13 14:48:15
500119068,66,42,1,2024-09-13 14:25:18
500119077,56,55,1,2024-09-13 14:58:20
500119077,56,48,8,2024-09-13 14:07:19
500119068,66,27,16,2024-09-13 13:36:18
500101181,99,77,21,2024-09-13 16:58:20
500101022,99,69,30,2024-09-13 16:28:18
500101022,99,65,34,2024-09-13 14:48:19
500119068,66,5,41,2024-09-13 15:18:17
500119059,68,25,43,2024-09-13 15:07:20
500101022,99,55,44,2024-09-13 14:38:19
500119068,66,0,46,2024-09-13 16:18:16
500101181,99,49,49,2024-09-13 17:08:21
500119048,53,3,50,2024-09-13 14:17:17
500119048,53,3,50,2024-09-13 13:38:17
500119048,53,2,51,2024-09-13 14:07:19
500119077,56,4,52,2024-09-13 17:08:21
500101032,61,4,57,2024-09-13 14:58:20
500101032,61,2,59,2024-09-13 16:58:20
500101032,61,2,59,2024-09-13 17:18:18
500101032,61,1,60,2024-09-13 16:28:18
500119049,99,23,60,2024-09-13 13:18:18
500101032,61,0,61,2024-09-13 14:28:14
500119049,99,18,65,2024-09-13 13:38:17
500119059,68,1,67,2024-09-13 15:33:17
500119096,99,30,69,2024-09-13 15:39:17
500119096,99,28,71,2024-09-13 16:00:24
500119006,92,20,72,2024-09-13 16:58:20
500119006,92,19,73,2024-09-13 17:07:21
500101181,99,21,76,2024-09-13 15:08:19
500119006,92,2,89,2024-09-13 13:17:18
500101022,99,9,90,2024-09-13 13:47:17
500119006,92,2,90,2024-09-13 14:37:18
500119006,92,2,90,2024-09-13 14:56:19
500101022,99,2,97,2024-09-13 13:37:18
500119096,99,0,99,2024-09-13 13:11:14
500119049,99,2,97,2024-09-13 22:47:17
500119006,92,3,89,2024-09-13 21:58:18
500101022,99,3,51,2024-09-13 22:28:16
500101032,61,33,28,2024-09-13 22:26:17
500101181,99,20,78,2024-09-13 03:38:17
500101181,99,84,14,2024-09-13 22:18:17
500119048,53,4,49,2024-09-13 23:08:17
500101032,61,53,8,2024-09-13 06:26:17
500101032,61,51,10,2024-09-13 07:05:20
500101032,61,48,13,2024-09-13 07:18:19
500101022,99,76,17,2024-09-13 05:32:16
500119077,56,22,34,2024-09-13 08:37:18
500101181,99,63,35,2024-09-13 05:51:16
500101181,99,62,36,2024-09-13 05:59:17
500119068,66,30,36,2024-09-13 08:48:18
500101181,99,61,37,2024-09-13 06:14:16
500101181,99,59,39,2024-09-13 06:28:18
500101181,99,56,41,2024-09-13 06:44:17
500119068,66,19,47,2024-09-13 08:20:21
500119048,53,2,51,2024-09-13 05:14:16
500119048,53,2,51,2024-09-13 05:36:16
500119048,53,2,51,2024-09-13 06:29:17
500119048,53,1,52,2024-09-13 05:08:14
500101032,61,8,53,2024-09-13 08:38:18
500119068,66,13,53,2024-09-13 08:06:18
500119077,56,2,54,2024-09-13 07:40:20
500101181,99,40,57,2024-09-13 07:08:20
500119059,68,11,57,2024-09-13 08:28:17
500119068,66,5,61,2024-09-13 07:28:19
500119006,92,28,63,2024-09-13 07:58:19
500119059,68,4,64,2024-09-13 07:45:19
500119068,66,1,65,2024-09-13 06:38:16
500119059,68,1,67,2024-09-13 06:38:14
500119059,68,0,68,2024-09-13 08:58:18
500119049,99,24,74,2024-09-13 08:48:18
500119096,99,21,78,2024-09-13 07:48:19
500119006,92,10,81,2024-09-13 08:28:17
500119049,99,14,84,2024-09-13 07:54:19
500119096,99,15,84,2024-09-13 08:07:20
500119006,92,3,88,2024-09-13 08:48:18
500101022,99,5,94,2024-09-13 08:47:18
500119049,99,0,98,2024-09-13 06:17:17
500119006,92,2,90,2024-09-13 23:37:17
500101032,61,11,50,2024-09-13 21:38:17
500101022,99,30,0,2024-09-13 18:08:20
500101181,99,98,0,2024-09-13 19:38:17
500119048,53,49,4,2024-09-13 17:28:18
500101181,99,89,9,2024-09-13 19:58:19
500101022,99,38,12,2024-09-13 20:38:17
500101022,99,17,12,2024-09-13 19:07:20
500119048,53,41,12,2024-09-13 18:18:18
500101181,99,85,13,2024-09-13 19:28:18
500101022,99,12,16,2024-09-13 20:18:18
500101022,99,10,19,2024-09-13 18:58:20
500101022,99,13,20,2024-09-13 17:48:18
500101181,99,77,21,2024-09-13 21:08:18
500101181,99,70,28,2024-09-13 19:08:20
500101181,99,68,30,2024-09-13 20:18:18
500101181,99,66,32,2024-09-13 20:28:18
500101181,99,66,32,2024-09-13 18:58:20
500119048,53,21,32,2024-09-13 18:58:20
500101181,99,56,42,2024-09-13 20:58:18
500119077,56,3,53,2024-09-13 18:08:20
500101032,61,7,54,2024-09-13 21:10:19
500101032,61,7,54,2024-09-13 20:38:17
500119077,56,2,54,2024-09-13 20:23:17
500119077,56,2,54,2024-09-13 17:46:17
500119077,56,2,54,2024-09-13 19:37:18
500101032,61,5,56,2024-09-13 19:46:17
500101032,61,2,59,2024-09-13 19:28:17
500101032,61,0,61,2024-09-13 18:18:18
500101032,61,0,61,2024-09-13 18:37:15
500101032,61,0,61,2024-09-13 18:48:15
500101032,61,0,61,2024-09-13 19:08:16
500119068,66,2,63,2024-09-13 19:48:19
500119068,66,0,65,2024-09-13 20:05:15
500119068,66,0,65,2024-09-13 18:28:18
500119068,66,0,65,2024-09-13 18:37:15
500119068,66,0,65,2024-09-13 17:27:17
500119059,68,1,67,2024-09-13 18:38:15
500119059,68,0,68,2024-09-13 20:18:18
500119096,99,30,69,2024-09-13 20:46:17
500119006,92,11,81,2024-09-13 19:13:18
500119049,99,18,81,2024-09-13 19:07:20
500119006,92,7,85,2024-09-13 19:58:19
500119006,92,2,90,2024-09-13 18:18:17
500119049,99,1,98,2024-09-13 20:58:15
500119049,99,1,98,2024-09-13 21:08:18
500119049,99,1,98,2024-09-13 20:17:16
500119049,99,1,98,2024-09-13 20:28:18
500119049,99,1,98,2024-09-13 18:28:15
500119049,99,1,98,2024-09-13 18:48:17
500119049,99,0,99,2024-09-13 19:57:18
500119049,99,0,99,2024-09-13 17:37:16
500119006,92,1,91,2024-09-13 23:46:16
500119049,99,60,1,2024-09-13 11:17:18
500119049,99,59,2,2024-09-13 10:38:20
500119049,99,54,7,2024-09-13 11:26:17
500119049,99,60,7,2024-09-13 10:28:20
500119068,66,29,8,2024-09-13 09:38:18
500119068,66,26,14,2024-09-13 11:47:17
500119068,66,25,15,2024-09-13 10:48:17
500119068,66,26,17,2024-09-13 12:57:19
500119068,66,43,23,2024-09-13 09:08:17
500101032,61,33,28,2024-09-13 12:38:17
500119077,56,22,31,2024-09-13 11:00:21
500119077,56,18,35,2024-09-13 11:17:18
500119049,99,45,38,2024-09-13 10:07:19
500119077,56,16,40,2024-09-13 13:08:19
500101032,61,19,42,2024-09-13 12:28:18
500119048,53,4,49,2024-09-13 12:28:18
500119048,53,0,53,2024-09-13 11:38:19
500119048,53,0,53,2024-09-13 10:38:20
500101032,61,4,57,2024-09-13 11:26:17
500101032,61,1,60,2024-09-13 09:48:17
500101032,61,0,61,2024-09-13 11:08:15
500101032,61,0,61,2024-09-13 09:58:14
500101032,61,0,61,2024-09-13 10:38:20
500119059,68,2,66,2024-09-13 12:37:18
500119059,68,1,67,2024-09-13 12:57:14
500119059,68,0,68,2024-09-13 11:17:15
500119006,92,2,89,2024-09-13 12:24:17
500119006,92,1,90,2024-09-13 11:01:19
500119006,92,1,90,2024-09-13 10:07:19
500101181,99,4,93,2024-09-13 11:38:19
500101181,99,3,94,2024-09-13 10:58:14
500101181,99,2,95,2024-09-13 11:18:18
500101181,99,1,96,2024-09-13 09:08:19
500101181,99,1,96,2024-09-13 10:18:19
500101181,99,0,97,2024-09-13 09:25:16
500101181,99,0,97,2024-09-13 09:48:15
500101022,99,1,98,2024-09-13 09:28:15
500119049,99,1,98,2024-09-13 23:58:17
500101022,99,2,52,2024-09-13 23:55:20
500101022,99,1,72,2024-09-13 00:28:16
500101022,99,1,72,2024-09-13 00:44:16
500101032,61,60,1,2024-09-13 00:02:16
500101032,61,61,0,2024-09-13 00:41:14
500101181,99,1,97,2024-09-13 00:07:17
500119006,92,32,60,2024-09-13 00:07:17
500119059,68,0,68,2024-09-13 20:20:19
500101032,61,60,1,2024-09-13 02:33:14
500119049,99,2,97,2024-09-13 21:54:18
500119096,99,33,66,2024-09-13 21:54:18
500119068,66,1,65,2024-09-13 03:34:14
500119068,66,0,65,2024-09-13 21:45:16
500119048,53,12,41,2024-09-13 21:47:17
500119096,99,32,67,2024-09-13 21:40:19
500101022,99,50,4,2024-09-13 21:48:16
500119096,99,32,67,2024-09-13 23:57:18
500119006,92,3,89,2024-09-13 23:16:16
500119048,53,53,0,2024-09-13 16:38:15
500119048,53,53,0,2024-09-13 15:46:16
500119049,99,84,0,2024-09-13 14:28:14
500101181,99,96,1,2024-09-13 15:38:17
500119048,53,52,1,2024-09-13 16:47:19
500119049,99,83,1,2024-09-13 14:32:14
500119049,99,83,1,2024-09-13 14:55:15
500119049,99,81,3,2024-09-13 14:16:18
500119068,66,34,9,2024-09-13 14:18:17
500119077,56,46,10,2024-09-13 13:55:22
500119077,56,45,11,2024-09-13 13:48:18
500119077,56,42,14,2024-09-13 15:37:19
500119077,56,41,15,2024-09-13 16:01:22
500119068,66,27,16,2024-09-13 13:47:17
500119077,56,38,18,2024-09-13 13:37:18
500119068,66,24,19,2024-09-13 13:58:19
500119068,66,25,21,2024-09-13 15:08:19
500119048,53,27,26,2024-09-13 15:28:18
500119068,66,15,31,2024-09-13 16:58:20
500119077,56,21,35,2024-09-13 13:18:18
500119068,66,2,44,2024-09-13 15:28:18
500101032,61,16,45,2024-09-13 15:28:18
500119059,68,21,47,2024-09-13 14:38:19
500119059,68,21,47,2024-09-13 14:57:20
500119048,53,1,52,2024-09-13 13:48:15
500119048,53,1,52,2024-09-13 13:58:19
500119077,56,4,52,2024-09-13 16:53:18
500119059,68,15,53,2024-09-13 13:23:18
500119059,68,14,54,2024-09-13 14:07:19
500101032,61,5,56,2024-09-13 16:08:18
500119077,56,0,56,2024-09-13 17:16:16
500101032,61,2,59,2024-09-13 16:38:17
500101032,61,1,60,2024-09-13 13:28:18
500119059,68,8,60,2024-09-13 15:18:17
500101032,61,0,61,2024-09-13 14:08:15
500101032,61,0,61,2024-09-13 14:38:15
500101032,61,0,61,2024-09-13 15:08:14
500101022,99,37,62,2024-09-13 17:08:21
500119059,68,1,67,2024-09-13 15:26:17
500119006,92,24,68,2024-09-13 16:08:20
500119059,68,0,68,2024-09-13 16:57:19
500119059,68,0,68,2024-09-13 16:59:15
