sno,total,available_rent_bikes,available_return_bikes,infoTime
500119068,66,0,66,2024-11-15 01:21:15
500119059,68,1,67,2024-11-15 00:08:15
500119096,99,41,58,2024-11-15 02:36:15
500119068,66,1,65,2024-11-15 21:55:16
500101181,99,3,96,2024-11-15 02:08:15
500119049,99,1,98,2024-11-15 22:13:15
500119096,99,35,64,2024-11-15 22:18:15
500119096,99,37,62,2024-11-15 22:55:17
500119049,99,2,95,2024-11-15 03:04:14
500119006,92,31,61,2024-11-15 01:08:14
500119048,53,10,43,2024-11-15 00:53:14
500119048,53,9,44,2024-11-15 01:30:16
500101032,61,58,3,2024-11-15 01:38:14
500101181,99,31,68,2024-11-15 04:08:14
500101181,99,2,97,2024-11-15 03:58:15
500119048,53,50,3,2024-11-15 17:47:16
500101022,99,65,12,2024-11-15 20:48:16
500101181,99,81,18,2024-11-15 19:09:15
500101022,99,40,21,2024-11-15 19:27:15
500119048,53,30,23,2024-11-15 20:37:15
500119059,68,41,27,2024-11-15 17:49:16
500101022,99,48,29,2024-11-15 21:18:15
500101022,99,28,30,2024-11-15 18:58:16
500101181,99,65,33,2024-11-15 21:18:14
500101181,99,60,39,2024-11-15 17:28:16
500101022,99,53,46,2024-11-15 17:27:15
500119077,56,6,49,2024-11-15 20:35:16
500101022,99,47,52,2024-11-15 17:38:16
500101032,61,5,54,2024-11-15 19:26:15
500119077,56,1,54,2024-11-15 18:07:16
500101032,61,0,59,2024-11-15 17:59:16
500101032,61,0,59,2024-11-15 18:25:16
500119059,68,8,60,2024-11-15 18:49:16
500119068,66,0,66,2024-11-15 18:52:15
500119006,92,21,71,2024-11-15 21:08:16
500119006,92,19,73,2024-11-15 19:35:16
500119096,99,22,77,2024-11-15 18:23:16
500119049,99,3,96,2024-11-15 17:38:15
500119049,99,0,99,2024-11-15 17:54:17
500119006,92,30,62,2024-11-15 01:26:14
500119059,68,0,68,2024-11-15 21:48:15
500119077,56,53,1,2024-11-15 12:57:15
500119077,56,40,14,2024-11-15 10:48:15
500119068,66,44,18,2024-11-15 10:37:15
500119077,56,27,27,2024-11-15 11:12:15
500119096,99,52,47,2024-11-15 11:56:14
500119059,68,20,48,2024-11-15 12:08:15
500119049,99,41,49,2024-11-15 10:27:15
500119096,99,50,49,2024-11-15 12:05:16
500101032,61,6,53,2024-11-15 09:26:14
500119049,99,32,58,2024-11-15 13:08:15
500101032,61,0,59,2024-11-15 12:28:15
500119049,99,31,59,2024-11-15 11:37:14
500101022,99,36,63,2024-11-15 12:18:15
500119006,92,20,72,2024-11-15 11:55:17
500119049,99,22,75,2024-11-15 09:36:14
500119049,99,19,78,2024-11-15 09:25:15
500119049,99,15,82,2024-11-15 09:18:15
500101022,99,16,83,2024-11-15 11:48:15
500119006,92,7,85,2024-11-15 12:18:15
500101181,99,3,96,2024-11-15 11:17:15
500101181,99,3,96,2024-11-15 10:38:14
500101022,99,2,97,2024-11-15 11:08:16
500101181,99,2,97,2024-11-15 10:08:15
500101181,99,2,97,2024-11-15 10:14:15
500101022,99,58,7,2024-11-15 05:22:15
500101032,61,51,7,2024-11-15 06:33:14
500101032,61,51,7,2024-11-15 05:57:14
500101022,99,35,30,2024-11-15 06:59:15
500119077,56,23,31,2024-11-15 08:54:15
500119077,56,19,35,2024-11-15 08:36:15
500101181,99,57,42,2024-11-15 07:28:15
500119048,53,11,42,2024-11-15 06:16:13
500119048,53,11,42,2024-11-15 06:23:14
500119068,66,7,59,2024-11-15 08:36:15
500119006,92,15,76,2024-11-15 08:48:14
500119049,99,1,96,2024-11-15 06:57:15
500119049,99,1,96,2024-11-15 05:56:14
500101022,99,0,99,2024-11-15 08:57:15
