sno,total,available_rent_bikes,available_return_bikes,infoTime
500101181,99,11,87,2024-09-02 01:01:26
500119006,92,44,48,2024-09-02 00:59:16
500101032,61,60,0,2024-09-02 00:30:51
500101022,99,4,65,2024-09-02 01:27:20
500101181,99,12,86,2024-09-02 02:06:21
500101022,99,39,30,2024-09-02 02:04:21
500101022,99,6,63,2024-09-02 01:36:20
500101022,99,35,34,2024-09-02 01:54:21
500101181,99,38,60,2024-09-02 00:07:19
500101181,99,30,68,2024-09-02 00:16:20
500101181,99,12,86,2024-09-02 00:54:21
500119006,92,46,46,2024-09-02 03:27:19
500101022,99,51,12,2024-09-02 05:16:19
500101022,99,50,13,2024-09-02 05:26:19
500101022,99,47,16,2024-09-02 05:42:19
500101032,61,42,18,2024-09-02 07:26:22
500101032,61,38,22,2024-09-02 07:38:21
500101032,61,34,26,2024-09-02 07:48:21
500119068,66,34,32,2024-09-02 08:47:20
500101032,61,22,38,2024-09-02 07:58:22
500101022,99,21,42,2024-09-02 07:38:21
500101022,99,18,45,2024-09-02 07:28:21
500119006,92,43,48,2024-09-02 07:17:50
500119048,53,1,51,2024-09-02 07:58:22
500119077,56,4,52,2024-09-02 07:42:21
500119068,66,8,58,2024-09-02 07:45:23
500119068,66,7,59,2024-09-02 07:50:37
500101181,99,38,60,2024-09-02 05:24:20
500119068,66,4,62,2024-09-02 07:01:25
500101181,99,30,68,2024-09-02 06:58:21
500119006,92,17,74,2024-09-02 08:08:21
500119096,99,25,74,2024-09-02 06:56:22
500119006,92,2,90,2024-09-02 08:17:44
500119049,99,6,93,2024-09-02 07:16:23
500101022,99,5,94,2024-09-02 08:48:21
500101022,99,2,97,2024-09-02 07:48:21
500101022,99,2,97,2024-09-02 08:37:20
500119049,99,2,97,2024-09-02 06:19:20
500119048,53,13,39,2024-09-02 21:43:19
500119059,68,0,68,2024-09-02 22:01:16
500101022,99,5,62,2024-09-02 22:18:20
500119048,53,6,46,2024-09-02 22:13:20
500101032,61,60,1,2024-09-02 22:17:42
500119049,99,0,99,2024-09-02 23:59:14
500119096,99,27,72,2024-09-02 23:09:19
500101032,61,60,1,2024-09-02 23:17:34
500119049,99,64,1,2024-09-02 10:23:09
500119077,56,50,1,2024-09-02 10:26:15
500119049,99,63,3,2024-09-02 09:58:22
500119068,66,39,3,2024-09-02 10:08:21
500119049,99,60,5,2024-09-02 10:38:19
500119077,56,38,13,2024-09-02 09:48:20
500119068,66,25,17,2024-09-02 09:58:23
500119077,56,30,21,2024-09-02 10:08:21
500119068,66,14,25,2024-09-02 11:27:26
500119068,66,10,27,2024-09-02 11:07:21
500119068,66,25,30,2024-09-02 09:48:20
500119048,53,6,46,2024-09-02 12:38:20
500119048,53,3,49,2024-09-02 12:58:20
500119048,53,0,52,2024-09-02 11:45:16
500119059,68,13,55,2024-09-02 12:56:20
500101181,99,40,58,2024-09-02 12:28:21
500119059,68,10,58,2024-09-02 10:08:20
500101032,61,0,61,2024-09-02 09:28:14
500119049,99,11,62,2024-09-02 12:38:20
500119049,99,9,64,2024-09-02 12:28:21
500119059,68,4,64,2024-09-02 12:08:22
500101181,99,33,65,2024-09-02 12:38:20
500119059,68,2,66,2024-09-02 10:48:22
500119059,68,2,66,2024-09-02 10:52:20
500101022,99,20,79,2024-09-02 12:38:19
500101181,99,12,86,2024-09-02 12:57:21
500101181,99,9,89,2024-09-02 11:38:23
500101022,99,8,91,2024-09-02 12:48:21
500101181,99,7,91,2024-09-02 11:48:24
500119006,92,0,92,2024-09-02 10:40:28
500119006,92,0,92,2024-09-02 10:58:15
500119006,92,0,92,2024-09-02 10:03:15
500101022,99,6,93,2024-09-02 12:08:22
500101181,99,4,94,2024-09-02 10:48:21
500101181,99,3,95,2024-09-02 10:38:20
