sno,total,available_rent_bikes,available_return_bikes,infoTime
500119049,99,1,97,2024-10-22 01:17:14
500119006,92,55,37,2024-10-22 03:03:19
500101022,99,16,8,2024-10-22 22:24:18
500101032,61,61,0,2024-10-22 23:16:15
500119068,66,2,63,2024-10-22 21:27:20
500119006,92,42,50,2024-10-22 22:44:17
500101181,99,43,42,2024-10-22 04:26:17
500119006,92,40,52,2024-10-22 22:33:17
500101022,99,8,16,2024-10-22 22:58:18
500119006,92,52,40,2024-10-22 00:25:18
500119049,99,1,98,2024-10-22 23:26:15
500119077,56,55,0,2024-10-22 08:32:15
500119048,53,36,17,2024-10-22 06:04:17
500119048,53,23,30,2024-10-22 07:33:19
500119049,99,67,31,2024-10-22 08:15:19
500119059,68,37,31,2024-10-22 08:17:18
500119006,92,55,36,2024-10-22 07:27:19
500101181,99,48,37,2024-10-22 07:48:18
500119006,92,50,41,2024-10-22 07:48:18
500101181,99,42,43,2024-10-22 05:36:17
500119006,92,42,49,2024-10-22 08:08:19
500119048,53,1,52,2024-10-22 08:18:15
500119048,53,0,53,2024-10-22 08:05:15
500101022,99,38,60,2024-10-22 07:48:18
500119096,99,31,67,2024-10-22 07:48:18
500119096,99,13,85,2024-10-22 08:48:18
500119049,99,12,86,2024-10-22 07:37:18
500119096,99,6,92,2024-10-22 08:58:20
500101022,99,2,96,2024-10-22 08:08:15
500101181,99,84,1,2024-10-22 18:46:17
500119048,53,52,1,2024-10-22 21:17:18
500119048,53,51,2,2024-10-22 21:00:21
500101181,99,82,3,2024-10-22 19:58:18
500119048,53,50,3,2024-10-22 19:43:19
500101032,61,57,4,2024-10-22 21:27:20
500101181,99,94,5,2024-10-22 20:34:19
500101022,99,15,8,2024-10-22 19:58:20
500101032,61,47,14,2024-10-22 19:55:20
500119068,66,11,30,2024-10-22 17:38:20
500101032,61,30,31,2024-10-22 19:18:18
500119077,56,2,53,2024-10-22 18:36:21
500119077,56,1,54,2024-10-22 19:10:16
500119077,56,1,54,2024-10-22 20:21:16
500119077,56,0,55,2024-10-22 20:46:14
500119006,92,36,56,2024-10-22 21:02:19
500119049,99,22,59,2024-10-22 18:08:22
