sno,total,available_rent_bikes,available_return_bikes,infoTime
500101032,61,59,1,2024-10-17 01:16:17
500101181,99,68,31,2024-10-17 01:38:16
500101022,99,6,53,2024-10-17 02:08:17
500101032,61,60,0,2024-10-17 02:22:15
500101022,99,4,59,2024-10-17 23:28:17
500101181,99,63,36,2024-10-17 03:18:16
500119048,53,26,27,2024-10-17 23:04:17
500101032,61,39,22,2024-10-17 23:08:17
500101022,99,8,55,2024-10-17 22:18:17
500101022,99,11,48,2024-10-17 00:48:16
500119068,66,29,0,2024-10-17 13:47:15
500119049,99,60,1,2024-10-17 13:48:17
500119077,56,51,2,2024-10-17 13:58:17
500119068,66,24,17,2024-10-17 15:59:24
500101181,99,66,33,2024-10-17 16:58:22
500119048,53,18,35,2024-10-17 15:48:20
500119059,68,27,41,2024-10-17 16:47:21
500119059,68,26,42,2024-10-17 16:21:16
500119059,68,25,43,2024-10-17 15:44:24
500101032,61,15,46,2024-10-17 14:38:17
500119059,68,19,49,2024-10-17 17:18:18
500119048,53,1,52,2024-10-17 14:46:17
500119048,53,0,53,2024-10-17 15:08:18
500101022,99,39,58,2024-10-17 16:58:22
500119059,68,2,66,2024-10-17 14:03:18
500119059,68,1,67,2024-10-17 14:16:16
500119006,92,14,78,2024-10-17 17:07:21
500101181,99,10,89,2024-10-17 16:18:16
500119006,92,1,91,2024-10-17 13:17:14
500101181,99,7,92,2024-10-17 14:37:17
500119096,99,5,93,2024-10-17 15:26:17
500119096,99,4,94,2024-10-17 16:35:18
500101181,99,2,97,2024-10-17 14:08:19
500119096,99,1,97,2024-10-17 17:05:20
500101022,99,1,98,2024-10-17 14:48:18
500119096,99,0,98,2024-10-17 14:17:17
500119096,99,0,98,2024-10-17 13:17:14
500119006,92,15,77,2024-10-17 21:47:15
500101181,99,99,0,2024-10-17 20:08:15
500101181,99,97,2,2024-10-17 20:37:17
500101181,99,96,3,2024-10-17 19:56:18
500101022,99,24,25,2024-10-17 18:58:18
500101032,61,20,41,2024-10-17 20:48:16
500119059,68,26,42,2024-10-17 17:27:18
500119068,66,2,43,2024-10-17 17:38:19
500119059,68,19,49,2024-10-17 17:38:19
500119068,66,2,64,2024-10-17 18:55:21
500119068,66,1,64,2024-10-17 21:05:18
500119059,68,2,66,2024-10-17 20:18:18
500119006,92,8,84,2024-10-17 20:22:19
500119096,99,10,88,2024-10-17 19:50:19
500119096,99,8,90,2024-10-17 17:56:19
500119096,99,6,92,2024-10-17 17:37:19
500119049,99,1,95,2024-10-17 19:25:18
500101181,99,4,95,2024-10-17 23:45:18
500101032,61,52,8,2024-10-17 06:02:16
500101022,99,49,19,2024-10-17 06:17:17
500101022,99,47,21,2024-10-17 05:23:16
500119077,56,32,24,2024-10-17 08:37:17
500101022,99,41,27,2024-10-17 06:44:17
500101181,99,61,38,2024-10-17 06:21:16
500119048,53,7,46,2024-10-17 07:58:19
500101181,99,36,63,2024-10-17 07:18:18
500119006,92,19,73,2024-10-17 22:22:17
500119048,53,42,11,2024-10-17 22:28:17
500119068,66,43,0,2024-10-17 11:07:15
500119049,99,72,1,2024-10-17 09:58:17
500119049,99,60,1,2024-10-17 13:08:14
500119068,66,42,1,2024-10-17 12:08:18
500119068,66,41,2,2024-10-17 10:36:17
500119077,56,51,2,2024-10-17 11:23:17
500119049,99,67,6,2024-10-17 10:18:18
500119068,66,20,8,2024-10-17 10:18:18
500119068,66,31,12,2024-10-17 11:27:17
500119068,66,13,25,2024-10-17 09:47:16
500119049,99,63,34,2024-10-17 09:17:18
500119048,53,6,47,2024-10-17 12:45:17
500119048,53,2,51,2024-10-17 11:58:17
500101032,61,7,53,2024-10-17 12:28:17
500119048,53,0,53,2024-10-17 10:08:15
500119048,53,0,53,2024-10-17 09:27:17
500101181,99,37,62,2024-10-17 12:28:17
500101022,99,17,78,2024-10-17 12:28:17
500119006,92,11,81,2024-10-17 12:38:18
500119096,99,12,86,2024-10-17 10:34:19
500101181,99,7,92,2024-10-17 12:08:18
500119096,99,6,92,2024-10-17 09:58:17
500119096,99,6,92,2024-10-17 10:47:17
500101022,99,1,94,2024-10-17 10:27:17
500101181,99,2,96,2024-10-17 10:38:17
500101181,99,3,96,2024-10-17 13:08:19
500119096,99,2,96,2024-10-17 11:27:17
500101181,99,0,98,2024-10-17 09:38:14
500119096,99,0,98,2024-10-17 13:04:14
500119049,99,2,95,2024-10-17 01:47:17
500119096,99,24,74,2024-10-17 22:40:18
500119049,99,0,97,2024-10-17 00:04:14
500101181,99,9,90,2024-10-17 23:28:17
500119049,99,0,96,2024-10-17 23:06:16
500101181,99,12,87,2024-10-17 23:18:17
500101022,99,47,21,2024-10-17 04:20:18
500119059,68,0,68,2024-10-17 20:58:15
500119048,53,43,10,2024-10-17 22:18:17
500101032,61,47,14,2024-10-17 22:06:18
500101181,99,55,44,2024-10-17 22:08:18
500101022,99,10,49,2024-10-17 00:49:17
500119049,99,0,96,2024-10-17 22:23:14
500119068,66,29,0,2024-10-17 14:38:15
500119077,56,52,1,2024-10-17 17:08:21
500119068,66,32,13,2024-10-17 16:58:22
500119068,66,29,14,2024-10-17 13:37:19
500119077,56,38,15,2024-10-17 13:48:17
500119068,66,25,16,2024-10-17 15:57:21
500119048,53,26,27,2024-10-17 16:27:18
500101181,99,56,43,2024-10-17 16:48:21
500119059,68,25,43,2024-10-17 16:57:19
500119059,68,21,47,2024-10-17 15:28:17
500119059,68,20,48,2024-10-17 17:08:21
500101022,99,46,51,2024-10-17 16:48:21
500101032,61,10,51,2024-10-17 16:18:17
500101032,61,10,51,2024-10-17 13:46:18
500119048,53,2,51,2024-10-17 13:58:18
500101032,61,9,52,2024-10-17 13:58:18
500119059,68,12,56,2024-10-17 13:28:17
500119049,99,1,66,2024-10-17 16:58:22
500101181,99,22,77,2024-10-17 15:58:25
500119006,92,14,78,2024-10-17 17:17:18
500119006,92,5,87,2024-10-17 14:44:18
500119096,99,11,87,2024-10-17 13:47:18
500119006,92,3,89,2024-10-17 15:48:20
500119096,99,9,89,2024-10-17 13:56:18
500101022,99,8,91,2024-10-17 15:08:18
500101181,99,6,93,2024-10-17 15:08:18
500119096,99,5,93,2024-10-17 16:26:18
500101181,99,3,96,2024-10-17 14:48:18
500101181,99,0,99,2024-10-17 13:48:15
500119096,99,19,79,2024-10-17 21:46:17
500101022,99,62,1,2024-10-17 20:18:18
500101181,99,96,3,2024-10-17 20:48:17
500119048,53,50,3,2024-10-17 21:17:17
500101181,99,95,4,2024-10-17 18:38:18
500101181,99,77,15,2024-10-17 19:18:17
500119077,56,20,36,2024-10-17 19:35:19
500101032,61,18,43,2024-10-17 20:18:18
500119077,56,7,46,2024-10-17 18:28:17
500101032,61,12,49,2024-10-17 20:27:17
500101032,61,6,55,2024-10-17 18:28:18
500119059,68,2,66,2024-10-17 20:20:17
500119096,99,18,80,2024-10-17 21:25:18
500119006,92,11,81,2024-10-17 21:15:18
500119006,92,11,81,2024-10-17 21:24:16
500119096,99,8,90,2024-10-17 18:57:19
500119006,92,1,91,2024-10-17 19:08:19
500119006,92,1,91,2024-10-17 18:15:20
500119006,92,0,92,2024-10-17 18:42:15
500119049,99,1,95,2024-10-17 18:52:18
500119049,99,1,95,2024-10-17 21:18:17
500119049,99,0,96,2024-10-17 19:38:14
500119049,99,0,96,2024-10-17 21:21:15
500119048,53,46,7,2024-10-17 05:53:16
500119048,53,39,14,2024-10-17 07:13:18
500101032,61,40,20,2024-10-17 07:48:18
500101022,99,46,22,2024-10-17 06:58:17
500101032,61,21,39,2024-10-17 08:37:17
500119006,92,50,42,2024-10-17 07:15:19
500119006,92,44,48,2024-10-17 07:38:17
500119059,68,18,50,2024-10-17 08:48:17
500119006,92,40,52,2024-10-17 07:58:19
500119048,53,1,52,2024-10-17 08:26:17
500119096,99,36,62,2024-10-17 07:41:18
500119059,68,3,65,2024-10-17 07:57:18
500119006,92,20,72,2024-10-17 08:37:17
500119096,99,26,72,2024-10-17 08:10:18
500101032,61,37,24,2024-10-17 22:28:17
500119049,99,62,0,2024-10-17 11:08:18
500119077,56,52,1,2024-10-17 11:35:18
500119049,99,46,16,2024-10-17 11:38:17
500119049,99,30,31,2024-10-17 12:28:17
500119059,68,20,48,2024-10-17 10:08:18
500119048,53,4,49,2024-10-17 12:08:18
500101032,61,10,50,2024-10-17 09:27:17
500101032,61,10,50,2024-10-17 09:48:16
500101032,61,1,59,2024-10-17 11:38:17
500101032,61,0,60,2024-10-17 10:56:15
500119059,68,1,67,2024-10-17 09:07:18
500101022,99,8,87,2024-10-17 10:58:18
500101022,99,2,93,2024-10-17 11:18:18
500101022,99,2,93,2024-10-17 11:27:17
500101181,99,1,97,2024-10-17 09:58:15
500119096,99,1,97,2024-10-17 12:53:17
500101181,99,67,32,2024-10-17 01:41:17
500101022,99,56,7,2024-10-17 21:38:17
500101022,99,38,20,2024-10-17 04:18:16
500101022,99,7,52,2024-10-17 01:25:18
500119006,92,49,43,2024-10-17 01:33:16
500119068,66,0,66,2024-10-17 22:44:14
500119096,99,39,59,2024-10-17 02:02:17
500119048,53,25,28,2024-10-17 23:18:17
500119006,92,22,70,2024-10-17 23:03:17
500119006,92,20,72,2024-10-17 22:14:16
500119049,99,0,96,2024-10-17 21:55:16
500101032,61,59,1,2024-10-17 00:50:16
500101022,99,9,50,2024-10-17 00:38:16
500119096,99,39,60,2024-10-17 00:02:16
500101022,99,3,60,2024-10-17 22:58:17
500101032,61,37,24,2024-10-17 22:58:16
500119049,99,0,96,2024-10-17 23:33:15
500119006,92,24,68,2024-10-17 23:35:17
500101032,61,43,18,2024-10-17 23:33:17
500119006,92,47,45,2024-10-17 01:26:17
500119049,99,61,0,2024-10-17 14:40:17
500119049,99,61,0,2024-10-17 13:26:17
500119068,66,29,0,2024-10-17 14:20:20
500119077,56,53,0,2024-10-17 14:22:14
500119077,56,52,1,2024-10-17 15:26:18
500119068,66,26,15,2024-10-17 15:38:18
500101022,99,73,26,2024-10-17 15:47:20
500119048,53,22,31,2024-10-17 16:05:19
500119068,66,14,31,2024-10-17 17:18:17
500101022,99,62,35,2024-10-17 17:18:18
500119077,56,16,37,2024-10-17 13:27:17
500119048,53,14,39,2024-10-17 15:35:19
500119048,53,1,52,2024-10-17 14:27:17
500119048,53,1,52,2024-10-17 14:34:14
500101032,61,7,54,2024-10-17 16:46:19
500101032,61,7,54,2024-10-17 17:08:21
500101032,61,6,55,2024-10-17 14:27:17
500101032,61,5,56,2024-10-17 15:08:18
500101032,61,1,60,2024-10-17 17:18:18
500119006,92,18,74,2024-10-17 16:45:21
500119096,99,15,83,2024-10-17 13:34:17
500119006,92,7,85,2024-10-17 14:58:18
500101181,99,6,93,2024-10-17 14:28:17
500119096,99,2,96,2024-10-17 14:56:19
500101022,99,1,97,2024-10-17 13:46:18
500101181,99,2,97,2024-10-17 13:38:17
500101022,99,45,18,2024-10-17 21:48:17
500119048,53,51,2,2024-10-17 18:07:20
500119048,53,42,11,2024-10-17 19:28:18
500101022,99,45,14,2024-10-17 19:27:18
500101032,61,39,22,2024-10-17 19:08:19
500101032,61,35,26,2024-10-17 19:38:19
500101032,61,35,26,2024-10-17 18:58:19
500119068,66,16,29,2024-10-17 17:48:19
500119077,56,24,29,2024-10-17 17:28:18
500101022,99,27,32,2024-10-17 19:48:18
500101181,99,66,33,2024-10-17 17:28:18
500101032,61,27,34,2024-10-17 21:18:17
500101181,99,63,36,2024-10-17 18:18:18
500101022,99,43,54,2024-10-17 17:38:19
500101032,61,3,58,2024-10-17 17:28:18
500101032,61,3,58,2024-10-17 18:07:20
500101032,61,1,60,2024-10-17 17:58:19
500119096,99,12,86,2024-10-17 20:08:19
500119049,99,1,95,2024-10-17 20:17:14
500119049,99,1,95,2024-10-17 19:18:18
500119096,99,3,95,2024-10-17 18:27:18
500119048,53,44,9,2024-10-17 06:42:17
500119048,53,42,11,2024-10-17 07:04:17
500101032,61,47,13,2024-10-17 06:35:18
500119077,56,37,19,2024-10-17 08:43:17
500119048,53,19,34,2024-10-17 07:45:21
500119006,92,53,39,2024-10-17 06:44:17
500101032,61,15,45,2024-10-17 08:58:17
500119077,56,2,54,2024-10-17 07:09:18
500119096,99,34,64,2024-10-17 07:58:19
500119059,68,1,67,2024-10-17 07:45:15
500119006,92,18,74,2024-10-17 08:18:17
500119006,92,18,74,2024-10-17 08:27:18
500119049,99,7,90,2024-10-17 07:38:17
500101022,99,2,93,2024-10-17 08:28:17
500101022,99,1,94,2024-10-17 08:58:17
500101181,99,1,97,2024-10-17 08:48:14
500101181,99,1,97,2024-10-17 08:58:17
500119077,56,56,0,2024-10-17 09:07:18
500119049,99,60,1,2024-10-17 12:58:17
500119068,66,42,1,2024-10-17 10:57:17
500119068,66,42,1,2024-10-17 13:08:19
500119068,66,41,2,2024-10-17 10:47:15
500119049,99,57,5,2024-10-17 12:07:18
500119068,66,38,5,2024-10-17 11:46:17
500119077,56,51,5,2024-10-17 09:28:17
500119077,56,46,7,2024-10-17 10:48:16
500119049,99,51,11,2024-10-17 11:45:17
500119049,99,42,20,2024-10-17 11:27:17
500119059,68,32,36,2024-10-17 10:35:17
500119059,68,32,36,2024-10-17 11:37:18
500119059,68,30,38,2024-10-17 11:07:19
500119059,68,25,43,2024-10-17 11:58:18
500119048,53,0,53,2024-10-17 10:13:15
500119048,53,0,53,2024-10-17 10:31:14
500119048,53,0,53,2024-10-17 11:45:15
500101032,61,3,57,2024-10-17 12:18:18
500119059,68,11,57,2024-10-17 09:18:17
500119059,68,10,58,2024-10-17 12:47:17
500119059,68,3,65,2024-10-17 12:17:17
500119006,92,21,71,2024-10-17 12:17:17
500119006,92,19,73,2024-10-17 11:58:18
500101181,99,22,77,2024-10-17 12:48:17
500119006,92,14,78,2024-10-17 12:27:17
500101022,99,11,84,2024-10-17 12:18:18
500101022,99,11,84,2024-10-17 12:48:17
500119006,92,4,88,2024-10-17 13:06:17
500119006,92,3,89,2024-10-17 10:26:18
500101022,99,2,93,2024-10-17 09:27:17
500101022,99,1,94,2024-10-17 10:06:18
500119096,99,3,95,2024-10-17 10:18:16
500119096,99,3,95,2024-10-17 10:28:17
500101181,99,2,97,2024-10-17 11:07:19
500101181,99,2,97,2024-10-17 11:28:16
500119096,99,1,97,2024-10-17 11:36:18
500101181,99,0,98,2024-10-17 10:28:17
500119096,99,0,98,2024-10-17 10:07:15
