sno,total,available_rent_bikes,available_return_bikes,infoTime
500101181,99,8,90,2024-09-20 01:00:20
500101032,61,61,0,2024-09-20 01:02:15
500101032,61,59,2,2024-09-20 01:28:17
500101022,99,0,50,2024-09-20 01:37:16
500101032,61,61,0,2024-09-20 00:06:15
500101181,99,25,73,2024-09-20 00:07:17
500119049,99,12,86,2024-09-20 00:35:18
500119068,66,14,51,2024-09-20 00:43:17
500119096,99,31,67,2024-09-20 00:12:17
500119096,99,33,65,2024-09-20 00:37:17
500101032,61,60,1,2024-09-20 02:38:15
500101032,61,61,0,2024-09-20 02:54:14
500101032,61,58,3,2024-09-20 01:59:17
500119077,56,48,4,2024-09-20 08:58:17
500119006,92,87,5,2024-09-20 07:08:18
500101022,99,46,11,2024-09-20 06:18:16
500119048,53,40,12,2024-09-20 06:22:17
500119006,92,79,13,2024-09-20 08:06:18
500119048,53,31,21,2024-09-20 07:27:18
500119077,56,30,22,2024-09-20 08:38:17
500101022,99,34,23,2024-09-20 04:50:17
500119077,56,33,23,2024-09-20 08:08:17
500119068,66,40,24,2024-09-20 08:28:18
500101032,61,30,30,2024-09-20 08:28:18
500119068,66,30,34,2024-09-20 08:18:18
500119006,92,56,36,2024-09-20 08:48:18
500101022,99,37,43,2024-09-20 06:45:18
500101181,99,54,43,2024-09-20 05:55:19
500101181,99,52,45,2024-09-20 05:44:16
500119059,68,21,47,2024-09-20 07:58:20
500119077,56,5,51,2024-09-20 07:36:18
500119048,53,0,52,2024-09-20 08:58:15
500119077,56,3,53,2024-09-20 07:00:21
500101032,61,5,56,2024-09-20 08:58:18
500101022,99,18,62,2024-09-20 07:48:19
500119096,99,29,69,2024-09-20 07:55:25
500119096,99,28,70,2024-09-20 08:01:19
500119096,99,25,73,2024-09-20 08:17:18
500101022,99,24,74,2024-09-20 08:08:18
500119096,99,20,78,2024-09-20 08:37:18
500119096,99,5,93,2024-09-20 08:56:19
500119077,56,1,55,2024-09-20 21:24:16
500119096,99,39,60,2024-09-20 21:36:16
500119048,53,52,1,2024-09-20 21:38:15
500119048,53,47,6,2024-09-20 21:54:18
500119096,99,41,58,2024-09-20 21:51:17
500119049,99,67,0,2024-09-20 10:08:20
500119077,56,46,1,2024-09-20 10:45:20
500119077,56,47,5,2024-09-20 09:17:18
500119068,66,26,8,2024-09-20 12:08:19
500119049,99,53,14,2024-09-20 12:08:19
500101032,61,40,20,2024-09-20 12:28:17
500119068,66,12,22,2024-09-20 12:48:17
500119068,66,11,23,2024-09-20 12:58:17
500119049,99,49,25,2024-09-20 09:37:17
500119068,66,8,26,2024-09-20 12:36:17
500101181,99,60,36,2024-09-20 12:38:18
500119077,56,14,36,2024-09-20 13:07:20
500101032,61,23,37,2024-09-20 12:16:18
500101022,99,57,41,2024-09-20 12:28:18
500119048,53,11,41,2024-09-20 12:47:17
500101032,61,17,43,2024-09-20 11:58:18
500119059,68,23,45,2024-09-20 11:46:16
500119059,68,21,47,2024-09-20 11:14:19
