sno,total,available_rent_bikes,available_return_bikes,infoTime
500119049,99,1,96,2024-09-27 01:09:16
500101022,99,3,57,2024-09-27 01:00:21
500119006,92,71,21,2024-09-27 00:41:17
500101181,99,58,40,2024-09-27 01:27:16
500101022,99,26,26,2024-09-27 00:18:16
500101022,99,5,55,2024-09-27 00:56:17
500101032,61,60,1,2024-09-27 00:23:17
500101181,99,66,32,2024-09-27 00:50:18
500119049,99,1,96,2024-09-27 00:26:14
500119096,99,45,54,2024-09-27 00:05:18
500101032,61,59,2,2024-09-27 02:05:17
500119049,99,0,97,2024-09-27 02:36:14
500101032,61,60,1,2024-09-27 02:49:16
500101032,61,61,0,2024-09-27 03:20:16
500101022,99,35,25,2024-09-27 04:18:17
500101181,99,52,46,2024-09-27 04:28:16
500101032,61,56,5,2024-09-27 04:38:17
500119049,99,59,4,2024-09-27 11:08:20
500119077,56,40,4,2024-09-27 10:32:17
500119068,66,36,10,2024-09-27 10:38:18
500119068,66,35,11,2024-09-27 11:08:20
500119068,66,24,21,2024-09-27 13:08:18
500119068,66,23,22,2024-09-27 12:18:19
500119049,99,44,24,2024-09-27 09:48:17
500119059,68,40,28,2024-09-27 09:27:16
500101032,61,27,34,2024-09-27 12:37:17
500119059,68,30,38,2024-09-27 10:44:16
500119059,68,30,38,2024-09-27 11:55:22
500101032,61,22,39,2024-09-27 12:48:18
500119059,68,28,40,2024-09-27 11:41:19
500119068,66,15,43,2024-09-27 09:48:16
500119048,53,3,49,2024-09-27 12:18:19
500119048,53,1,51,2024-09-27 10:40:16
500119049,99,12,51,2024-09-27 12:36:18
500119048,53,0,52,2024-09-27 10:26:14
500119048,53,0,52,2024-09-27 10:51:15
500119048,53,0,52,2024-09-27 11:27:18
500101022,99,46,53,2024-09-27 12:58:19
500119059,68,9,59,2024-09-27 10:08:19
500101032,61,1,60,2024-09-27 10:58:19
500119059,68,6,62,2024-09-27 12:58:19
500119006,92,21,70,2024-09-27 12:33:19
500119006,92,17,75,2024-09-27 11:28:18
500119096,99,19,80,2024-09-27 12:14:17
500119096,99,14,85,2024-09-27 09:15:17
500101022,99,12,87,2024-09-27 11:18:18
500119006,92,1,91,2024-09-27 10:18:18
500119006,92,0,92,2024-09-27 10:21:21
500101022,99,5,93,2024-09-27 11:08:20
500101022,99,4,94,2024-09-27 10:06:19
500101022,99,4,94,2024-09-27 09:28:18
500101022,99,2,96,2024-09-27 10:58:19
500101181,99,1,97,2024-09-27 09:58:15
500101181,99,2,97,2024-09-27 10:38:17
500119048,53,51,1,2024-09-27 21:38:17
500101032,61,22,39,2024-09-27 21:43:18
500101022,99,25,9,2024-09-27 21:48:17
500101022,99,98,1,2024-09-27 15:28:18
500101181,99,98,1,2024-09-27 17:08:20
500101022,99,97,2,2024-09-27 15:37:18
500101181,99,97,2,2024-09-27 16:38:20
500119049,99,56,8,2024-09-27 14:38:18
