sno,total,available_rent_bikes,available_return_bikes,infoTime
500119008,10,10,0,2024-10-04 14:42:15
500119078,10,10,0,2024-10-04 15:28:16
500119081,26,26,0,2024-10-04 15:11:15
500119085,14,14,0,2024-10-04 15:26:14
500119087,30,20,1,2024-10-04 15:28:18
500101030,34,32,2,2024-10-04 15:18:18
500119047,30,28,2,2024-10-04 15:23:17
500119092,17,14,2,2024-10-04 15:28:18
500101035,24,21,3,2024-10-04 15:24:17
500119072,12,9,3,2024-10-04 15:28:19
500119089,24,21,3,2024-10-04 15:28:19
500119069,26,19,4,2024-10-04 15:28:18
500119091,18,14,4,2024-10-04 14:47:18
500119055,28,23,5,2024-10-04 15:28:19
500119090,40,30,5,2024-10-04 15:28:19
500119060,12,6,6,2024-10-04 15:26:18
500119062,12,6,6,2024-10-04 15:28:19
500119065,10,4,6,2024-10-04 15:27:18
500119076,22,6,6,2024-10-04 15:28:19
500101028,20,11,7,2024-10-04 15:27:18
500101029,15,8,7,2024-10-04 15:24:17
500101034,18,11,7,2024-10-04 15:27:17
500106003,12,4,8,2024-10-04 15:28:19
500106004,12,4,8,2024-10-04 15:24:17
500119061,39,31,8,2024-10-04 15:27:17
500119080,10,2,8,2024-10-04 15:12:18
500119052,26,6,9,2024-10-04 15:26:17
500119056,10,1,9,2024-10-04 15:26:18
500119066,20,11,9,2024-10-04 15:28:19
500119077,56,41,9,2024-10-04 15:25:17
500119082,10,1,9,2024-10-04 15:27:18
500119074,30,20,10,2024-10-04 15:28:19
500101039,28,17,11,2024-10-04 15:21:18
500119053,19,3,11,2024-10-04 15:28:19
500119068,66,42,11,2024-10-04 15:27:18
500119083,18,1,11,2024-10-04 15:18:18
500101036,20,8,12,2024-10-04 15:22:18
500119044,35,23,12,2024-10-04 15:23:17
500119058,33,21,12,2024-10-04 15:24:17
500119046,40,27,13,2024-10-04 15:27:18
500119075,48,21,13,2024-10-04 15:28:19
500119093,36,22,14,2024-10-04 15:27:18
500101042,15,0,15,2024-10-04 15:24:15
500119050,31,1,15,2024-10-04 15:28:19
500101031,20,4,16,2024-10-04 15:28:19
500101037,20,3,17,2024-10-04 15:04:17
500119079,19,2,17,2024-10-04 15:26:18
500119086,51,15,18,2024-10-04 15:28:19
500101040,25,6,19,2024-10-04 15:27:17
500119051,27,8,19,2024-10-04 15:28:18
500119054,30,7,20,2024-10-04 15:27:18
500119071,34,6,20,2024-10-04 15:28:19
500119095,33,9,20,2024-10-04 15:25:17
500101023,25,4,21,2024-10-04 15:28:18
500119063,27,5,22,2024-10-04 15:27:17
500119009,30,5,24,2024-10-04 15:28:18
500119064,28,4,24,2024-10-04 15:23:17
500119067,42,5,24,2024-10-04 15:28:19
500101038,27,2,25,2024-10-04 15:28:19
500119057,48,23,25,2024-10-04 15:28:19
500119084,40,15,25,2024-10-04 15:28:19
500119094,40,13,27,2024-10-04 15:25:18
500119007,35,6,29,2024-10-04 15:26:18
500119088,35,5,30,2024-10-04 15:26:18
500119005,37,3,33,2024-10-04 15:28:18
500119049,99,36,35,2024-10-04 15:26:18
500101041,41,5,36,2024-10-04 15:27:18
500119043,42,0,41,2024-10-04 15:28:16
500119070,48,7,41,2024-10-04 15:28:19
500119045,45,2,43,2024-10-04 15:26:18
500119059,68,25,43,2024-10-04 15:28:19
500101033,46,1,44,2024-10-04 15:28:18
500119048,53,5,48,2024-10-04 15:28:18
500101022,99,43,53,2024-10-04 15:28:19
500101032,61,5,56,2024-10-04 15:28:18
500101181,99,23,73,2024-10-04 15:28:19
500119006,92,5,87,2024-10-04 15:28:19
500119096,99,1,97,2024-10-04 15:18:14
500101030,34,34,0,2024-10-04 09:34:20
500101034,18,18,0,2024-10-04 09:08:17
500101034,18,18,0,2024-10-04 09:24:15
500101035,24,24,0,2024-10-04 09:07:19
500101035,24,24,0,2024-10-04 09:27:15
500101035,24,24,0,2024-10-04 10:49:15
500101039,28,28,0,2024-10-04 09:27:15
500101039,28,28,0,2024-10-04 09:28:15
500119047,30,30,0,2024-10-04 09:05:15
500119049,99,66,0,2024-10-04 09:26:19
500119049,99,66,0,2024-10-04 11:08:15
500119050,31,17,0,2024-10-04 09:08:18
500119050,31,17,0,2024-10-04 09:18:15
500119050,31,17,0,2024-10-04 09:35:18
500119052,26,26,0,2024-10-04 08:51:15
500119052,26,26,0,2024-10-04 09:23:15
500119053,19,9,0,2024-10-04 09:11:14
500119053,19,9,0,2024-10-04 11:08:18
500119054,30,27,0,2024-10-04 09:00:18
500119054,30,27,0,2024-10-04 09:26:15
500119054,30,27,0,2024-10-04 11:07:20
500119058,33,33,0,2024-10-04 09:00:18
500119058,33,33,0,2024-10-04 11:05:15
500119066,20,20,0,2024-10-04 11:04:13
500119071,34,20,0,2024-10-04 09:24:15
500119072,12,12,0,2024-10-04 08:45:15
500119072,12,12,0,2024-10-04 10:27:15
500119075,48,33,0,2024-10-04 11:08:18
500119075,48,34,0,2024-10-04 09:34:20
500119077,56,55,0,2024-10-04 08:53:15
500119077,56,45,0,2024-10-04 10:41:15
500119078,10,10,0,2024-10-04 08:24:15
500119083,18,18,0,2024-10-04 08:11:15
500119083,18,14,0,2024-10-04 10:23:15
500119085,14,14,0,2024-10-04 10:55:16
500119086,51,51,0,2024-10-04 09:23:15
500119086,51,30,0,2024-10-04 11:01:16
500101028,20,18,1,2024-10-04 09:21:18
500101028,20,17,1,2024-10-04 11:06:18
500101030,34,33,1,2024-10-04 09:26:19
500101039,28,27,1,2024-10-04 09:08:18
500119050,31,16,1,2024-10-04 10:58:18
500119052,26,14,1,2024-10-04 11:07:21
500119058,33,32,1,2024-10-04 09:26:19
500119058,33,32,1,2024-10-04 09:34:18
500119066,20,19,1,2024-10-04 09:08:18
500119066,20,19,1,2024-10-04 09:35:15
500119067,42,28,1,2024-10-04 08:53:18
500119067,42,28,1,2024-10-04 09:20:19
500119067,42,28,1,2024-10-04 09:33:19
500119069,26,22,1,2024-10-04 11:06:16
500119075,48,33,1,2024-10-04 09:26:19
500119076,22,15,1,2024-10-04 08:54:18
500119076,22,15,1,2024-10-04 09:27:19
500119078,10,9,1,2024-10-04 11:02:19
500119085,14,13,1,2024-10-04 09:15:19
500119087,30,29,1,2024-10-04 09:07:19
500119087,30,20,1,2024-10-04 11:08:17
500119089,24,23,1,2024-10-04 09:26:18
500119090,40,27,1,2024-10-04 11:08:18
500101029,15,13,2,2024-10-04 10:49:18
500101034,18,16,2,2024-10-04 09:33:19
500101039,28,26,2,2024-10-04 10:59:17
500119066,20,18,2,2024-10-04 09:27:19
500119085,14,12,2,2024-10-04 09:08:18
500101030,34,31,3,2024-10-04 11:08:18
500119053,19,6,3,2024-10-04 09:08:18
500119055,28,25,3,2024-10-04 11:04:18
500119076,22,13,3,2024-10-04 09:34:20
500119082,10,7,3,2024-10-04 09:34:20
500101030,34,30,4,2024-10-04 09:07:17
500119055,28,24,4,2024-10-04 09:35:18
500119067,42,25,4,2024-10-04 11:08:18
500119071,34,15,4,2024-10-04 11:08:18
500119072,12,8,4,2024-10-04 09:27:19
500119089,24,20,4,2024-10-04 11:08:18
500119092,17,11,4,2024-10-04 09:03:15
500101028,20,14,5,2024-10-04 09:07:17
500101036,20,15,5,2024-10-04 11:06:18
500119071,34,24,5,2024-10-04 09:08:18
500119081,26,21,5,2024-10-04 09:07:19
500119049,99,60,6,2024-10-04 09:35:18
500119089,24,18,6,2024-10-04 09:35:18
500119008,10,3,7,2024-10-04 09:06:19
500119047,30,23,7,2024-10-04 11:04:19
500119052,26,19,7,2024-10-04 09:35:18
500119055,28,21,7,2024-10-04 09:27:19
500119076,22,5,7,2024-10-04 11:06:18
500119077,56,48,7,2024-10-04 09:33:19
500119078,10,3,7,2024-10-04 09:25:20
500119081,26,19,7,2024-10-04 09:23:20
500119082,10,3,7,2024-10-04 09:07:19
500119083,18,7,7,2024-10-04 09:35:18
500119089,24,17,7,2024-10-04 09:08:18
500101029,15,7,8,2024-10-04 09:01:20
500101029,15,7,8,2024-10-04 09:24:18
500101031,20,12,8,2024-10-04 09:07:17
500101034,18,10,8,2024-10-04 11:08:17
500101037,20,12,8,2024-10-04 11:06:18
500119078,10,2,8,2024-10-04 09:34:20
500119082,10,2,8,2024-10-04 09:25:20
500119082,10,2,8,2024-10-04 11:08:18
500119092,17,7,8,2024-10-04 09:27:18
500119092,17,7,8,2024-10-04 09:32:20
500119008,10,1,9,2024-10-04 11:05:18
500119051,27,18,9,2024-10-04 09:05:21
500119060,12,3,9,2024-10-04 09:26:19
500119065,10,1,9,2024-10-04 09:34:20
500119069,26,17,9,2024-10-04 09:08:18
500119069,26,14,9,2024-10-04 09:32:20
500119080,10,1,9,2024-10-04 11:08:15
500119081,26,17,9,2024-10-04 09:35:18
500119083,18,5,9,2024-10-04 09:27:18
500101038,27,17,10,2024-10-04 09:08:18
500106004,12,2,10,2024-10-04 09:08:18
500106004,12,2,10,2024-10-04 11:07:21
500106004,12,2,10,2024-10-04 09:33:19
500119008,10,0,10,2024-10-04 09:16:16
500119056,10,0,10,2024-10-04 09:03:15
500119056,10,0,10,2024-10-04 11:05:15
500119056,10,0,10,2024-10-04 09:34:15
500119060,12,2,10,2024-10-04 09:05:21
500119065,10,0,10,2024-10-04 09:05:15
500119065,10,0,10,2024-10-04 10:26:14
500119069,26,13,10,2024-10-04 09:26:19
500119080,10,0,10,2024-10-04 09:06:15
500119095,33,18,10,2024-10-04 11:06:18
500101031,20,9,11,2024-10-04 09:27:19
500101038,27,16,11,2024-10-04 09:27:19
500101038,27,16,11,2024-10-04 11:06:18
500106003,12,1,11,2024-10-04 09:35:18
500106004,12,1,11,2024-10-04 09:27:19
500119060,12,1,11,2024-10-04 11:02:19
500119060,12,1,11,2024-10-04 09:32:20
500119072,12,1,11,2024-10-04 09:35:15
500119074,30,19,11,2024-10-04 09:08:18
500119079,19,7,11,2024-10-04 09:25:20
500119086,51,40,11,2024-10-04 09:08:18
500101031,20,8,12,2024-10-04 09:34:20
500101038,27,15,12,2024-10-04 09:35:17
500106003,12,0,12,2024-10-04 09:03:15
500106003,12,0,12,2024-10-04 09:22:15
500106003,12,0,12,2024-10-04 11:08:18
500119062,12,0,12,2024-10-04 08:12:14
500119062,12,0,12,2024-10-04 10:38:15
500119087,30,18,12,2024-10-04 09:35:18
500119095,33,20,12,2024-10-04 09:30:20
500101042,15,2,13,2024-10-04 11:08:15
500119051,27,14,13,2024-10-04 09:27:19
500119087,30,17,13,2024-10-04 09:27:18
500119095,33,19,13,2024-10-04 09:26:19
500119088,35,21,14,2024-10-04 11:08:18
500101031,20,5,15,2024-10-04 10:59:17
500101036,20,5,15,2024-10-04 09:34:20
500101042,15,0,15,2024-10-04 09:02:15
500101042,15,0,15,2024-10-04 09:27:15
500101042,15,0,15,2024-10-04 09:35:15
500119051,27,12,15,2024-10-04 09:34:20
500119068,66,22,15,2024-10-04 11:08:18
500119081,26,11,15,2024-10-04 11:05:18
500119092,17,0,15,2024-10-04 10:48:15
500119095,33,17,15,2024-10-04 09:08:18
500101036,20,4,16,2024-10-04 09:27:19
500101040,25,9,16,2024-10-04 11:08:17
500119093,36,20,16,2024-10-04 09:08:18
500119093,36,20,16,2024-10-04 09:22:19
500119091,18,1,17,2024-10-04 10:54:14
500101023,25,7,18,2024-10-04 09:03:19
500101036,20,2,18,2024-10-04 09:05:21
500101037,20,2,18,2024-10-04 09:06:15
500119079,19,0,18,2024-10-04 08:59:14
500119079,19,0,18,2024-10-04 11:08:15
500119079,19,0,18,2024-10-04 09:35:18
500119091,18,0,18,2024-10-04 06:44:14
500119091,18,0,18,2024-10-04 09:32:14
500119093,36,18,18,2024-10-04 10:53:18
500119093,36,18,18,2024-10-04 09:35:18
500101023,25,6,19,2024-10-04 09:27:19
500101037,20,1,19,2024-10-04 09:27:19
500101037,20,1,19,2024-10-04 09:34:20
500119055,28,9,19,2024-10-04 09:08:18
500119074,30,10,20,2024-10-04 09:27:19
500119074,30,10,20,2024-10-04 11:06:17
500119074,30,10,20,2024-10-04 09:33:18
500101023,25,4,21,2024-10-04 09:33:19
500101023,25,0,25,2024-10-04 11:05:15
500101040,25,0,25,2024-10-04 09:08:15
500101040,25,0,25,2024-10-04 09:26:15
500119051,27,2,25,2024-10-04 11:06:18
500119064,28,3,25,2024-10-04 09:07:19
500119075,48,22,25,2024-10-04 09:08:18
500119064,28,2,26,2024-10-04 11:01:16
500119009,30,2,27,2024-10-04 09:25:20
500119063,27,0,27,2024-10-04 09:08:15
500119063,27,0,27,2024-10-04 09:24:15
500119063,27,0,27,2024-10-04 11:08:17
500119063,27,0,27,2024-10-04 09:33:15
500119064,28,1,27,2024-10-04 09:25:15
500119064,28,0,28,2024-10-04 09:34:20
500119009,30,0,29,2024-10-04 09:02:15
500119009,30,0,29,2024-10-04 11:07:21
500119009,30,0,29,2024-10-04 09:31:15
500119088,35,6,29,2024-10-04 09:08:18
500119046,40,10,30,2024-10-04 11:08:18
500119068,66,36,30,2024-10-04 09:08:18
500119090,40,10,30,2024-10-04 09:08:18
500119007,35,4,31,2024-10-04 09:22:19
500119044,35,4,31,2024-10-04 09:06:19
500119057,48,17,31,2024-10-04 09:23:20
500119088,35,4,31,2024-10-04 09:27:19
500119090,40,5,31,2024-10-04 09:27:19
500119090,40,5,31,2024-10-04 09:34:18
500119007,35,3,32,2024-10-04 09:05:21
500119057,48,16,32,2024-10-04 09:06:19
500119059,68,36,32,2024-10-04 09:34:18
500119088,35,3,32,2024-10-04 09:35:17
500119007,35,2,33,2024-10-04 09:30:20
500119057,48,15,33,2024-10-04 09:35:18
500119059,68,35,33,2024-10-04 09:07:19
500119059,68,35,33,2024-10-04 11:01:20
500119061,39,5,33,2024-10-04 11:08:17
500119084,40,7,33,2024-10-04 09:31:18
500119044,35,1,34,2024-10-04 09:27:19
500119044,35,1,34,2024-10-04 09:35:17
500119049,99,65,34,2024-10-04 09:07:19
500119059,68,34,34,2024-10-04 09:24:18
500119084,40,6,34,2024-10-04 09:26:18
500119007,35,0,35,2024-10-04 11:05:15
500119044,35,0,35,2024-10-04 11:07:21
500119061,39,3,35,2024-10-04 09:35:18
500119005,37,0,36,2024-10-04 09:08:15
500119005,37,0,36,2024-10-04 09:27:18
500119005,37,0,36,2024-10-04 11:01:16
500119005,37,0,36,2024-10-04 09:35:15
500119061,39,2,36,2024-10-04 09:26:19
500119084,40,4,36,2024-10-04 09:08:18
500119084,40,4,36,2024-10-04 11:07:21
500119046,40,3,37,2024-10-04 09:08:18
500119061,39,1,37,2024-10-04 09:04:18
500101041,41,2,38,2024-10-04 09:04:18
500119046,40,2,38,2024-10-04 09:34:20
500119094,40,1,38,2024-10-04 11:08:18
500119046,40,1,39,2024-10-04 09:27:19
500119094,40,0,39,2024-10-04 08:51:15
500119043,42,1,40,2024-10-04 09:26:18
500101041,41,0,41,2024-10-04 10:59:14
500119043,42,0,41,2024-10-04 09:08:15
500119043,42,0,41,2024-10-04 11:07:16
500119043,42,0,41,2024-10-04 09:30:17
500101033,46,2,43,2024-10-04 11:06:18
500101033,46,1,44,2024-10-04 09:06:19
500101033,46,1,44,2024-10-04 09:27:18
500119045,45,1,44,2024-10-04 09:03:15
500119045,45,1,44,2024-10-04 11:08:15
500119045,45,0,45,2024-10-04 09:12:15
500119045,45,0,45,2024-10-04 09:35:15
500119057,48,3,45,2024-10-04 11:06:17
500119068,66,21,45,2024-10-04 09:27:19
500119068,66,21,45,2024-10-04 09:35:18
500119070,48,3,45,2024-10-04 11:08:18
500119070,48,1,47,2024-10-04 09:06:19
500119070,48,1,47,2024-10-04 09:24:18
500119070,48,1,47,2024-10-04 09:31:18
500119048,53,1,52,2024-10-04 11:05:18
500119048,53,0,53,2024-10-04 09:02:15
500119048,53,0,53,2024-10-04 09:27:18
500119048,53,0,53,2024-10-04 09:33:15
500101032,61,3,58,2024-10-04 11:06:18
500101032,61,1,60,2024-10-04 09:02:18
500101032,61,1,60,2024-10-04 09:26:19
500101032,61,1,60,2024-10-04 09:31:18
500119006,92,1,91,2024-10-04 09:08:18
500119006,92,1,91,2024-10-04 09:26:15
500119006,92,1,91,2024-10-04 09:35:15
500119006,92,0,92,2024-10-04 10:59:14
500101181,99,2,94,2024-10-04 11:08:18
500101022,99,1,95,2024-10-04 09:26:19
500101022,99,1,95,2024-10-04 11:08:18
500101181,99,1,95,2024-10-04 09:35:18
500101022,99,0,96,2024-10-04 09:08:15
500101022,99,0,96,2024-10-04 09:34:18
500101181,99,0,96,2024-10-04 08:58:14
500101181,99,0,96,2024-10-04 09:19:15
500119096,99,2,96,2024-10-04 09:05:21
500119096,99,0,98,2024-10-04 09:14:15
500101023,25,25,0,2024-10-04 13:26:15
500101029,15,15,0,2024-10-04 13:27:14
500119008,10,10,0,2024-10-04 14:10:16
500119008,10,10,0,2024-10-04 13:37:15
500119046,40,40,0,2024-10-04 14:16:17
500119052,26,15,0,2024-10-04 14:16:19
500119066,20,20,0,2024-10-04 14:16:17
500119074,30,30,0,2024-10-04 14:12:14
500119076,22,12,0,2024-10-04 14:16:17
500119078,10,10,0,2024-10-04 14:13:15
500119083,18,12,0,2024-10-04 14:17:19
500119083,18,16,0,2024-10-04 12:38:14
500119087,30,21,0,2024-10-04 13:31:15
500101028,20,17,1,2024-10-04 14:17:18
500101029,15,14,1,2024-10-04 12:38:17
500119050,31,16,1,2024-10-04 13:37:17
500119053,19,13,1,2024-10-04 14:17:19
500119055,28,27,1,2024-10-04 14:17:18
