sno,total,available_rent_bikes,available_return_bikes,infoTime
500101022,99,57,20,2024-09-10 00:18:17
500101181,99,55,43,2024-09-10 00:43:17
500119006,92,58,33,2024-09-10 00:11:17
500119006,92,64,27,2024-09-10 00:46:17
500119006,92,63,28,2024-09-10 00:35:18
500119049,99,1,98,2024-09-10 00:16:15
500119049,99,1,98,2024-09-10 00:31:15
500119096,99,29,70,2024-09-10 00:48:17
500101022,99,58,19,2024-09-10 01:49:17
500101181,99,8,90,2024-09-10 22:27:17
500119096,99,27,72,2024-09-10 22:21:17
500119048,53,12,41,2024-09-10 22:44:16
500101032,61,52,9,2024-09-10 22:48:17
500119049,99,0,99,2024-09-10 22:52:16
500119048,53,2,51,2024-09-10 22:54:17
500119006,92,65,27,2024-09-10 22:57:18
500119006,92,74,17,2024-09-10 02:35:18
500119006,92,73,18,2024-09-10 02:26:17
500119049,99,0,99,2024-09-10 23:05:15
500119068,66,0,65,2024-09-10 21:57:18
500101022,99,17,56,2024-09-10 21:57:18
500119048,53,33,20,2024-09-10 21:57:18
500101181,99,53,45,2024-09-10 02:56:18
500101022,99,56,21,2024-09-10 02:44:17
500101022,99,45,0,2024-09-10 18:48:15
500119048,53,53,0,2024-09-10 18:47:18
500119048,53,53,0,2024-09-10 20:05:15
500101022,99,44,1,2024-09-10 18:28:18
500119048,53,52,1,2024-09-10 20:27:17
500101022,99,43,2,2024-09-10 19:28:18
500101022,99,43,2,2024-09-10 19:38:16
500101022,99,43,2,2024-09-10 18:18:18
500119048,53,51,2,2024-09-10 20:36:15
500119048,53,50,3,2024-09-10 18:58:19
500101181,99,94,4,2024-09-10 19:58:18
500119048,53,49,4,2024-09-10 17:58:21
500119048,53,49,4,2024-09-10 21:28:17
500101022,99,52,9,2024-09-10 20:37:17
500119048,53,44,9,2024-09-10 18:28:18
500101022,99,35,10,2024-09-10 19:58:18
500101181,99,86,12,2024-09-10 18:58:19
500101181,99,83,15,2024-09-10 21:08:18
500101022,99,41,20,2024-09-10 20:48:17
500101022,99,41,20,2024-09-10 21:08:18
500101032,61,39,22,2024-09-10 17:48:20
500101032,61,30,31,2024-09-10 21:18:16
