sno,total,available_rent_bikes,available_return_bikes,infoTime
500101022,99,47,35,2024-11-08 04:38:14
500119077,56,0,56,2024-11-08 21:19:15
500119049,99,1,98,2024-11-08 22:38:14
500101032,61,60,0,2024-11-08 01:07:15
500101032,61,15,44,2024-11-08 21:47:15
500101022,99,30,26,2024-11-08 21:38:14
500101181,99,33,63,2024-11-08 02:26:15
500119006,92,53,38,2024-11-08 02:25:16
500101032,61,50,9,2024-11-08 23:48:14
500101181,99,3,78,2024-11-08 23:15:15
500101181,99,37,44,2024-11-08 21:57:14
500101032,61,56,3,2024-11-08 05:43:15
500101032,61,56,4,2024-11-08 05:38:15
500119048,53,38,15,2024-11-08 06:17:15
500101032,61,42,17,2024-11-08 07:25:17
500119077,56,32,24,2024-11-08 08:37:14
500119048,53,28,25,2024-11-08 07:41:14
500119048,53,26,27,2024-11-08 07:37:15
500101022,99,45,37,2024-11-08 05:27:15
500101032,61,11,47,2024-11-08 08:57:14
500119048,53,1,52,2024-11-08 08:58:15
500119048,53,0,53,2024-11-08 08:09:15
500119068,66,9,56,2024-11-08 07:44:15
500119059,68,4,64,2024-11-08 07:43:14
500119059,68,1,67,2024-11-08 06:28:15
500119006,92,21,70,2024-11-08 07:57:15
500119006,92,19,72,2024-11-08 08:05:16
500119049,99,19,80,2024-11-08 08:28:15
500101181,99,3,93,2024-11-08 08:08:15
500119049,99,4,95,2024-11-08 07:15:15
500119049,99,2,97,2024-11-08 07:06:16
500119006,92,52,39,2024-11-08 01:51:15
500119048,53,9,44,2024-11-08 23:57:14
500101022,99,42,0,2024-11-08 19:28:15
500119048,53,46,7,2024-11-08 20:07:15
500101022,99,33,9,2024-11-08 19:38:15
500101022,99,47,9,2024-11-08 21:08:15
500101022,99,43,13,2024-11-08 21:17:15
500101022,99,28,13,2024-11-08 19:58:15
500101181,99,59,22,2024-11-08 19:58:15
500119077,56,27,29,2024-11-08 18:56:15
500119077,56,27,29,2024-11-08 19:28:15
500101181,99,49,32,2024-11-08 20:48:14
500101181,99,40,41,2024-11-08 21:18:14
500101032,61,15,44,2024-11-08 20:35:15
500119077,56,10,46,2024-11-08 20:55:16
500119068,66,1,54,2024-11-08 21:07:15
500119068,66,0,55,2024-11-08 18:15:16
500119068,66,0,55,2024-11-08 19:22:15
500119068,66,0,55,2024-11-08 20:48:15
500119068,66,0,55,2024-11-08 20:18:15
500101032,61,0,59,2024-11-08 19:08:15
500119059,68,0,68,2024-11-08 19:31:15
500119096,99,15,84,2024-11-08 19:21:15
500119049,99,6,85,2024-11-08 17:58:14
500119096,99,13,86,2024-11-08 18:37:15
500119006,92,1,91,2024-11-08 19:44:15
500119006,92,0,92,2024-11-08 19:16:15
500119049,99,0,99,2024-11-08 23:08:15
