sno,total,available_rent_bikes,available_return_bikes,infoTime
500101032,61,61,0,2024-11-11 22:29:15
500119006,92,46,46,2024-11-11 03:31:14
500119006,92,45,47,2024-11-11 03:03:15
500119006,92,44,48,2024-11-11 01:54:14
500101032,61,61,0,2024-11-11 23:22:15
500119068,66,50,0,2024-11-11 15:33:14
500119068,66,49,1,2024-11-11 14:34:15
500119077,56,50,5,2024-11-11 15:27:15
500119068,66,44,6,2024-11-11 15:58:15
500119048,53,46,7,2024-11-11 17:17:16
500119077,56,48,8,2024-11-11 14:27:15
500119077,56,47,8,2024-11-11 15:18:15
500119068,66,39,11,2024-11-11 16:28:15
500119059,68,43,25,2024-11-11 16:56:16
500101032,61,34,27,2024-11-11 13:38:15
500101032,61,34,27,2024-11-11 14:28:16
500119059,68,41,27,2024-11-11 16:05:17
500101032,61,29,32,2024-11-11 16:28:15
500119059,68,32,36,2024-11-11 14:58:15
500101032,61,22,39,2024-11-11 16:08:15
500119048,53,5,48,2024-11-11 16:18:15
500119048,53,0,53,2024-11-11 13:31:16
500119006,92,2,90,2024-11-11 14:08:16
500101032,61,61,0,2024-11-11 22:00:19
500101032,61,39,21,2024-11-11 08:48:16
500119068,66,14,44,2024-11-11 08:38:16
500119048,53,0,53,2024-11-11 08:35:17
500119068,66,5,53,2024-11-11 07:57:14
500119068,66,1,57,2024-11-11 06:58:16
500119059,68,2,66,2024-11-11 07:44:15
500119077,56,54,2,2024-11-11 11:25:16
500119068,66,48,5,2024-11-11 11:28:15
500119068,66,49,7,2024-11-11 11:02:16
500119068,66,42,8,2024-11-11 12:18:16
500119068,66,42,16,2024-11-11 09:57:16
500101032,61,38,22,2024-11-11 11:33:15
500119077,56,26,30,2024-11-11 09:50:17
500119077,56,23,33,2024-11-11 09:27:17
500101032,61,21,39,2024-11-11 09:48:16
500119059,68,21,47,2024-11-11 12:35:15
500119048,53,1,52,2024-11-11 13:08:15
500119048,53,0,53,2024-11-11 11:38:16
500119059,68,14,54,2024-11-11 12:04:15
500119059,68,11,57,2024-11-11 10:25:16
500101032,61,52,9,2024-11-11 20:46:15
500119077,56,43,12,2024-11-11 19:49:15
500119077,56,40,15,2024-11-11 19:02:15
500119077,56,34,21,2024-11-11 20:28:14
500101032,61,18,43,2024-11-11 17:57:15
500119068,66,6,60,2024-11-11 19:38:15
