sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119096,99,46,53,2024-12-02 00:20:16,2024-12-02.csv
500119006,92,47,45,2024-12-02 00:42:15,2024-12-02.csv
500119049,99,1,97,2024-12-02 02:14:15,2024-12-02.csv
500101022,99,65,32,2024-12-02 02:41:15,2024-12-02.csv
500101022,99,22,27,2024-12-02 21:49:16,2024-12-02.csv
500119006,92,21,71,2024-12-02 22:30:17,2024-12-02.csv
500119096,99,39,60,2024-12-02 22:33:15,2024-12-02.csv
500101022,99,69,28,2024-12-02 02:11:15,2024-12-02.csv
500119048,53,11,42,2024-12-02 23:19:16,2024-12-02.csv
500119059,68,0,68,2024-12-02 22:06:15,2024-12-02.csv
500119006,92,19,73,2024-12-02 22:08:16,2024-12-02.csv
500101022,99,80,17,2024-12-02 03:59:14,2024-12-02.csv
500101032,61,61,0,2024-12-02 22:29:16,2024-12-02.csv
500119077,56,56,0,2024-12-02 16:59:18,2024-12-02.csv
500119077,56,51,5,2024-12-02 14:36:18,2024-12-02.csv
500119068,66,35,10,2024-12-02 15:27:17,2024-12-02.csv
500119068,66,31,14,2024-12-02 14:39:18,2024-12-02.csv
500119077,56,37,19,2024-12-02 13:38:16,2024-12-02.csv
500119049,99,49,20,2024-12-02 13:28:15,2024-12-02.csv
500119068,66,25,20,2024-12-02 14:49:17,2024-12-02.csv
500119059,68,36,32,2024-12-02 17:01:17,2024-12-02.csv
500119059,68,30,38,2024-12-02 16:29:15,2024-12-02.csv
500101032,61,20,41,2024-12-02 16:59:18,2024-12-02.csv
500119048,53,2,51,2024-12-02 13:18:16,2024-12-02.csv
500119059,68,17,51,2024-12-02 13:38:16,2024-12-02.csv
500101022,99,47,52,2024-12-02 16:59:18,2024-12-02.csv
500119048,53,0,53,2024-12-02 14:18:16,2024-12-02.csv
500119048,53,0,53,2024-12-02 14:57:15,2024-12-02.csv
500101032,61,3,58,2024-12-02 15:29:16,2024-12-02.csv
500101022,99,39,60,2024-12-02 16:49:16,2024-12-02.csv
500101181,99,37,62,2024-12-02 15:49:16,2024-12-02.csv
500119006,92,29,63,2024-12-02 15:18:16,2024-12-02.csv
500101022,99,29,70,2024-12-02 16:39:17,2024-12-02.csv
500119096,99,17,82,2024-12-02 15:44:16,2024-12-02.csv
500101181,99,15,84,2024-12-02 16:59:18,2024-12-02.csv
500119096,99,15,84,2024-12-02 16:37:16,2024-12-02.csv
500119096,99,15,84,2024-12-02 17:06:16,2024-12-02.csv
500119006,92,5,87,2024-12-02 16:58:16,2024-12-02.csv
500101022,99,3,96,2024-12-02 13:48:16,2024-12-02.csv
500101022,99,0,99,2024-12-02 14:19:15,2024-12-02.csv
500101181,99,0,99,2024-12-02 13:49:16,2024-12-02.csv
500119096,99,0,99,2024-12-02 12:49:15,2024-12-02.csv
500101032,61,59,1,2024-12-02 05:48:15,2024-12-02.csv
500101032,61,58,2,2024-12-02 05:37:15,2024-12-02.csv
500101022,99,81,15,2024-12-02 06:01:16,2024-12-02.csv
500119077,56,8,48,2024-12-02 08:45:15,2024-12-02.csv
500119048,53,1,52,2024-12-02 05:53:14,2024-12-02.csv
500119048,53,0,53,2024-12-02 08:48:15,2024-12-02.csv
500101022,99,40,56,2024-12-02 07:27:15,2024-12-02.csv
500119096,99,36,62,2024-12-02 07:48:15,2024-12-02.csv
500119059,68,1,67,2024-12-02 06:46:15,2024-12-02.csv
500119049,99,4,94,2024-12-02 07:06:15,2024-12-02.csv
500119049,99,58,10,2024-12-02 11:17:15,2024-12-02.csv
