sno,total,available_rent_bikes,available_return_bikes,infoTime,source_file
500119096,99,23,76,2024-12-12 23:25:15,2024-12-12.csv
500119068,66,0,66,2024-12-12 00:55:16,2024-12-12.csv
500101022,99,20,61,2024-12-12 04:17:15,2024-12-12.csv
500119006,92,62,29,2024-12-12 03:52:15,2024-12-12.csv
500119048,53,36,16,2024-12-12 23:12:14,2024-12-12.csv
500101022,99,6,48,2024-12-12 23:39:15,2024-12-12.csv
500101181,99,37,62,2024-12-12 03:30:15,2024-12-12.csv
500119077,56,56,0,2024-12-12 09:57:15,2024-12-12.csv
500119049,99,59,7,2024-12-12 11:28:15,2024-12-12.csv
500119077,56,43,13,2024-12-12 09:27:15,2024-12-12.csv
500119068,66,19,31,2024-12-12 10:28:15,2024-12-12.csv
500119077,56,15,37,2024-12-12 12:37:14,2024-12-12.csv
500119049,99,46,44,2024-12-12 09:47:15,2024-12-12.csv
500119048,53,6,47,2024-12-12 12:28:15,2024-12-12.csv
500101032,61,13,48,2024-12-12 09:07:15,2024-12-12.csv
500119048,53,2,51,2024-12-12 13:05:15,2024-12-12.csv
500119059,68,16,52,2024-12-12 12:55:17,2024-12-12.csv
500119059,68,14,54,2024-12-12 12:48:14,2024-12-12.csv
500119059,68,12,56,2024-12-12 12:35:16,2024-12-12.csv
500119059,68,6,62,2024-12-12 11:25:15,2024-12-12.csv
500119059,68,4,63,2024-12-12 09:08:15,2024-12-12.csv
500119096,99,13,86,2024-12-12 11:48:15,2024-12-12.csv
500119096,99,10,89,2024-12-12 11:58:15,2024-12-12.csv
500119006,92,1,91,2024-12-12 12:06:16,2024-12-12.csv
500101022,99,1,94,2024-12-12 10:45:16,2024-12-12.csv
500101022,99,1,94,2024-12-12 09:38:15,2024-12-12.csv
500101181,99,2,97,2024-12-12 09:56:15,2024-12-12.csv
500101181,99,1,98,2024-12-12 10:58:15,2024-12-12.csv
500119096,99,0,99,2024-12-12 11:23:16,2024-12-12.csv
500101022,99,2,52,2024-12-12 22:48:15,2024-12-12.csv
500101032,61,46,15,2024-12-12 22:47:14,2024-12-12.csv
500119048,53,53,0,2024-12-12 17:57:16,2024-12-12.csv
500101181,99,96,3,2024-12-12 17:38:16,2024-12-12.csv
500119048,53,47,6,2024-12-12 18:28:14,2024-12-12.csv
500101022,99,28,9,2024-12-12 19:08:15,2024-12-12.csv
500101181,99,88,11,2024-12-12 18:38:15,2024-12-12.csv
500119048,53,37,16,2024-12-12 20:48:15,2024-12-12.csv
500119077,56,38,16,2024-12-12 17:28:15,2024-12-12.csv
500101022,99,19,18,2024-12-12 18:38:15,2024-12-12.csv
500119048,53,35,18,2024-12-12 19:38:15,2024-12-12.csv
500119048,53,32,21,2024-12-12 19:27:15,2024-12-12.csv
500119077,56,12,44,2024-12-12 20:25:16,2024-12-12.csv
500119077,56,11,45,2024-12-12 19:15:16,2024-12-12.csv
500101032,61,15,46,2024-12-12 20:27:15,2024-12-12.csv
500101032,61,9,52,2024-12-12 18:27:15,2024-12-12.csv
500101032,61,2,59,2024-12-12 18:18:15,2024-12-12.csv
500119068,66,2,61,2024-12-12 18:26:15,2024-12-12.csv
500119068,66,2,61,2024-12-12 20:08:14,2024-12-12.csv
500119068,66,1,63,2024-12-12 18:08:16,2024-12-12.csv
500119068,66,0,63,2024-12-12 19:35:18,2024-12-12.csv
500119049,99,22,76,2024-12-12 19:17:14,2024-12-12.csv
500119096,99,14,85,2024-12-12 20:27:14,2024-12-12.csv
500119006,92,4,87,2024-12-12 18:31:15,2024-12-12.csv
500119096,99,12,87,2024-12-12 19:29:15,2024-12-12.csv
500119006,92,3,88,2024-12-12 19:48:15,2024-12-12.csv
500119006,92,2,89,2024-12-12 20:08:15,2024-12-12.csv
500119006,92,1,90,2024-12-12 20:11:15,2024-12-12.csv
500119096,99,9,90,2024-12-12 18:08:15,2024-12-12.csv
500119006,92,1,91,2024-12-12 17:45:17,2024-12-12.csv
500119096,99,8,91,2024-12-12 17:42:15,2024-12-12.csv
500119049,99,2,96,2024-12-12 20:19:15,2024-12-12.csv
500119049,99,0,98,2024-12-12 20:46:17,2024-12-12.csv
500119049,99,70,0,2024-12-12 13:46:14,2024-12-12.csv
500119068,66,45,5,2024-12-12 15:06:15,2024-12-12.csv
500119049,99,56,14,2024-12-12 15:29:15,2024-12-12.csv
500119068,66,36,17,2024-12-12 16:37:16,2024-12-12.csv
500119077,56,35,17,2024-12-12 14:26:16,2024-12-12.csv
500119049,99,49,21,2024-12-12 16:16:15,2024-12-12.csv
500119049,99,46,24,2024-12-12 16:57:15,2024-12-12.csv
500119048,53,24,29,2024-12-12 16:38:15,2024-12-12.csv
500119048,53,16,37,2024-12-12 16:28:15,2024-12-12.csv
500119059,68,23,45,2024-12-12 14:39:15,2024-12-12.csv
500101032,61,13,48,2024-12-12 14:18:15,2024-12-12.csv
500119068,66,3,50,2024-12-12 17:17:15,2024-12-12.csv
500119048,53,0,53,2024-12-12 14:06:16,2024-12-12.csv
500119048,53,0,53,2024-12-12 14:24:16,2024-12-12.csv
500101032,61,4,57,2024-12-12 13:46:15,2024-12-12.csv
500119059,68,3,65,2024-12-12 17:08:15,2024-12-12.csv
500119096,99,5,94,2024-12-12 16:14:15,2024-12-12.csv
500119096,99,5,94,2024-12-12 14:36:16,2024-12-12.csv
500101022,99,2,95,2024-12-12 14:39:15,2024-12-12.csv
500119096,99,1,98,2024-12-12 15:06:16,2024-12-12.csv
500119096,99,0,99,2024-12-12 13:19:16,2024-12-12.csv
500119068,66,0,64,2024-12-12 21:44:15,2024-12-12.csv
500119006,92,9,82,2024-12-12 21:47:16,2024-12-12.csv
500101181,99,29,70,2024-12-12 22:39:14,2024-12-12.csv
500119096,99,38,61,2024-12-12 01:04:14,2024-12-12.csv
500101181,99,40,59,2024-12-12 22:29:15,2024-12-12.csv
500119006,92,63,28,2024-12-12 07:29:15,2024-12-12.csv
500101032,61,31,29,2024-12-12 08:07:15,2024-12-12.csv
500101032,61,22,39,2024-12-12 08:46:15,2024-12-12.csv
500119048,53,10,42,2024-12-12 07:25:16,2024-12-12.csv
500119077,56,11,45,2024-12-12 08:18:15,2024-12-12.csv
500119006,92,40,52,2024-12-12 08:18:15,2024-12-12.csv
500101022,99,34,61,2024-12-12 07:27:15,2024-12-12.csv
500119006,92,28,64,2024-12-12 08:38:15,2024-12-12.csv
500101181,99,32,67,2024-12-12 05:14:14,2024-12-12.csv
500101181,99,19,80,2024-12-12 06:58:15,2024-12-12.csv
500101181,99,10,89,2024-12-12 07:08:15,2024-12-12.csv
