sno,total,available_rent_bikes,available_return_bikes,infoTime
500119048,53,1,51,2024-09-05 00:37:14
500119068,66,1,65,2024-09-05 01:18:17
500119006,92,31,61,2024-09-05 01:10:19
500119068,66,0,66,2024-09-05 00:22:14
500119048,53,0,52,2024-09-05 01:51:14
500101181,99,0,98,2024-09-05 01:40:15
500119006,92,32,60,2024-09-05 01:49:17
500119077,56,0,56,2024-09-05 20:05:16
500119059,68,0,68,2024-09-05 22:04:15
500119049,99,0,98,2024-09-05 02:07:14
500101032,61,58,1,2024-09-05 02:08:17
500101181,99,85,13,2024-09-05 04:39:17
500119068,66,0,64,2024-09-05 21:33:15
500119059,68,0,68,2024-09-05 21:02:15
500101032,61,33,28,2024-09-05 21:34:18
500119048,53,0,53,2024-09-05 22:44:15
500101181,99,0,99,2024-09-05 23:25:15
500101181,99,61,37,2024-09-05 03:12:17
500119006,92,44,48,2024-09-05 22:26:16
500101022,99,1,82,2024-09-05 23:07:18
500119006,92,45,47,2024-09-05 22:55:21
500101022,99,1,57,2024-09-05 00:08:16
500101022,99,2,56,2024-09-05 00:18:16
500101022,99,1,57,2024-09-05 00:28:16
500101022,99,1,57,2024-09-05 00:58:17
500101181,99,0,98,2024-09-05 00:00:18
500119048,53,0,52,2024-09-05 00:08:15
500119068,66,1,65,2024-09-05 00:18:16
500101181,99,99,0,2024-09-05 16:24:17
500119049,99,78,0,2024-09-05 14:18:19
500119049,99,79,0,2024-09-05 14:26:14
500119077,56,56,0,2024-09-05 15:20:18
500119049,99,77,1,2024-09-05 13:47:19
500119068,66,40,2,2024-09-05 13:58:20
500119077,56,45,11,2024-09-05 15:06:18
500119068,66,29,13,2024-09-05 13:28:20
500119077,56,41,15,2024-09-05 13:54:21
500119068,66,23,19,2024-09-05 15:58:21
500119068,66,33,21,2024-09-05 17:08:20
500119077,56,30,26,2024-09-05 15:54:21
500119077,56,30,26,2024-09-05 13:18:19
500119059,68,38,30,2024-09-05 15:03:19
500119068,66,6,36,2024-09-05 16:18:19
500119059,68,30,38,2024-09-05 14:58:19
500101032,61,20,41,2024-09-05 16:37:24
500119048,53,12,41,2024-09-05 14:58:19
500119059,68,26,42,2024-09-05 14:38:18
500119077,56,12,44,2024-09-05 16:56:19
500119059,68,23,45,2024-09-05 16:46:19
500101032,61,8,52,2024-09-05 14:28:19
500101032,61,7,53,2024-09-05 13:37:19
500101032,61,0,60,2024-09-05 14:08:20
500119059,68,0,68,2024-09-05 13:48:18
500119049,99,10,70,2024-09-05 15:27:19
500119049,99,9,71,2024-09-05 15:38:19
500101022,99,22,74,2024-09-05 15:07:20
500119006,92,18,74,2024-09-05 16:33:17
500119006,92,13,79,2024-09-05 15:36:17
500119006,92,12,80,2024-09-05 15:56:19
500119096,99,19,80,2024-09-05 16:38:21
500119096,99,19,80,2024-09-05 17:02:19
500101181,99,15,81,2024-09-05 14:58:19
500101181,99,14,82,2024-09-05 15:18:19
500119006,92,3,89,2024-09-05 15:05:19
500101181,99,3,93,2024-09-05 14:37:19
500101181,99,3,93,2024-09-05 13:57:19
500101022,99,0,96,2024-09-05 13:28:20
500119096,99,2,97,2024-09-05 15:02:21
500101022,99,24,2,2024-09-05 18:07:20
500101022,99,11,13,2024-09-05 19:36:16
500101022,99,8,16,2024-09-05 19:17:18
500101022,99,28,25,2024-09-05 19:57:19
500101181,99,73,26,2024-09-05 19:07:19
500101032,61,34,27,2024-09-05 20:14:18
500101022,99,31,29,2024-09-05 20:57:18
500101032,61,31,30,2024-09-05 20:26:17
500101181,99,66,33,2024-09-05 19:27:18
500101181,99,63,36,2024-09-05 20:17:17
500101181,99,60,39,2024-09-05 18:27:15
500119048,53,14,39,2024-09-05 21:26:18
500119048,53,13,40,2024-09-05 20:56:18
500101022,99,17,43,2024-09-05 20:47:17
500101032,61,7,54,2024-09-05 19:37:17
500119077,56,2,54,2024-09-05 19:15:19
500119077,56,1,55,2024-09-05 18:16:18
500119077,56,0,56,2024-09-05 18:07:15
500119077,56,0,56,2024-09-05 19:50:19
500101032,61,0,61,2024-09-05 17:47:18
500101032,61,0,61,2024-09-05 18:07:15
500101032,61,0,61,2024-09-05 18:47:18
500101032,61,0,61,2024-09-05 19:07:19
500101022,99,12,62,2024-09-05 21:17:18
500119068,66,0,64,2024-09-05 17:46:15
500119068,66,0,64,2024-09-05 20:46:14
500119068,66,0,64,2024-09-05 18:17:18
500119059,68,0,68,2024-09-05 17:42:14
500119006,92,18,74,2024-09-05 18:25:19
500119006,92,18,74,2024-09-05 20:37:17
500119096,99,21,78,2024-09-05 20:45:18
500119096,99,20,79,2024-09-05 17:37:19
500119096,99,20,79,2024-09-05 17:45:19
500119096,99,18,81,2024-09-05 18:53:19
500119096,99,16,83,2024-09-05 17:52:18
500119049,99,3,95,2024-09-05 19:16:18
500119049,99,1,97,2024-09-05 17:47:18
500119049,99,1,97,2024-09-05 19:57:17
500119049,99,0,98,2024-09-05 18:00:18
500119049,99,0,98,2024-09-05 18:57:15
500119049,99,0,98,2024-09-05 20:36:18
500119049,99,0,98,2024-09-05 19:42:15
500119077,56,45,11,2024-09-05 10:48:25
500119049,99,49,12,2024-09-05 11:47:19
500119068,66,22,14,2024-09-05 11:48:18
500119068,66,18,18,2024-09-05 10:57:25
500119068,66,18,18,2024-09-05 11:28:19
500119068,66,46,20,2024-09-05 09:16:23
500119077,56,30,23,2024-09-05 11:36:20
500119068,66,7,35,2024-09-05 12:48:19
500101032,61,17,43,2024-09-05 12:58:21
500119048,53,1,51,2024-09-05 12:17:18
500119048,53,0,52,2024-09-05 09:17:21
500119048,53,0,52,2024-09-05 10:48:26
500119077,56,0,53,2024-09-05 12:25:16
500119049,99,21,55,2024-09-05 09:38:20
500101032,61,4,56,2024-09-05 11:15:21
500119049,99,23,56,2024-09-05 12:48:19
500119059,68,9,59,2024-09-05 12:32:19
500119059,68,8,60,2024-09-05 12:58:20
500119049,99,30,64,2024-09-05 09:08:20
500119059,68,4,64,2024-09-05 09:17:21
500119059,68,3,65,2024-09-05 11:58:20
500119059,68,0,68,2024-09-05 09:28:15
500119059,68,0,68,2024-09-05 11:13:15
500101181,99,25,71,2024-09-05 12:48:19
500101022,99,24,72,2024-09-05 12:38:17
500119006,92,14,78,2024-09-05 12:16:17
500101181,99,17,79,2024-09-05 12:28:17
500119006,92,9,83,2024-09-05 12:47:18
500101022,99,8,88,2024-09-05 11:18:22
500101181,99,7,89,2024-09-05 11:48:18
500119006,92,2,90,2024-09-05 11:37:20
500119006,92,1,91,2024-09-05 11:54:14
500119006,92,1,91,2024-09-05 10:41:21
500119006,92,0,92,2024-09-05 09:59:15
500101022,99,2,94,2024-09-05 10:37:19
500101022,99,1,95,2024-09-05 09:58:19
500101181,99,0,95,2024-09-05 09:15:16
500101181,99,0,95,2024-09-05 09:34:15
500101181,99,1,95,2024-09-05 10:37:15
500101022,99,0,96,2024-09-05 09:37:19
500101181,99,0,96,2024-09-05 10:48:25
500101181,99,0,96,2024-09-05 10:14:14
500119049,99,1,97,2024-09-05 21:46:15
500119048,53,11,42,2024-09-05 21:46:17
500101181,99,29,70,2024-09-05 21:47:17
500119049,99,0,98,2024-09-05 22:49:15
500101032,61,42,19,2024-09-05 22:03:17
500101181,99,49,49,2024-09-05 03:08:17
500119049,99,0,98,2024-09-05 21:55:15
