sno,hour,avg_available_rent_bike,avg_available_return_bike,avg_available_rent_ratio,avg_available_return_ratio,count
500101022,0,15.066914498141264,52.30483271375465,0.15219105553678045,0.5283316435732792,538
500101022,1,19.7602523659306,51.01261829652997,0.19959850874677373,0.5152789726922219,317
500101022,2,21.960975609756098,48.75121951219512,0.2218280364621828,0.49243656072924363,205
500101022,3,29.045,43.265,0.29338383838383836,0.43702020202020203,200
500101022,4,38.06422018348624,34.76605504587156,0.38448707256046705,0.35117227319062183,218
500101022,5,43.490196078431374,30.865546218487395,0.4392949098831452,0.3117731941261353,357
500101022,6,43.84848484848485,31.966329966329965,0.44291398836853385,0.32289222188212086,594
500101022,7,32.73121869782972,47.93823038397329,0.33061837068514865,0.4842245493330635,599
500101022,8,15.796327212020033,72.21869782971619,0.15955886072747508,0.7294817962597595,599
500101022,9,12.86890756302521,78.39327731092438,0.12998896528308293,0.7918512859689331,595
500101022,10,12.692567567567568,78.9358108108108,0.1282077532077532,0.7973314223314223,592
500101022,11,21.252144082332762,71.14236706689537,0.21466812204376526,0.7186097683524785,583
500101022,12,39.03872053872054,53.23232323232323,0.39433051049212664,0.5377002346699317,594
500101022,13,20.96,71.38666666666667,0.21171717171717172,0.7210774410774411,600
500101022,14,17.41038525963149,75.55443886097153,0.17586247737001506,0.7631761501108235,597
500101022,15,35.10958904109589,58.36986301369863,0.3546423135464231,0.5895945758959458,584
500101022,16,41.78411053540587,51.43696027633852,0.4220617225798573,0.5195652553165506,579
500101022,17,46.9051724137931,38.522413793103446,0.4737896203413445,0.38911529083942875,580
500101022,18,41.196308724832214,18.318791946308725,0.4161243305538608,0.1850383024879669,596
500101022,19,34.7996632996633,17.84175084175084,0.3515117505016495,0.18021970547223073,594
500101022,20,32.05912162162162,26.41554054054054,0.3238295113295113,0.2668236418236418,592
500101022,21,26.935593220338983,35.94406779661017,0.2720766991953433,0.3630713918849512,590
500101022,22,11.671768707482993,52.40816326530612,0.11789665361093933,0.5293753865182437,588
500101022,23,11.001694915254237,54.06949152542373,0.11112823146721452,0.5461564800547851,590
500101023,0,6.767441860465116,18.06046511627907,0.27069767441860465,0.7224186046511628,215
500101023,1,7.726618705035971,16.776978417266186,0.30906474820143887,0.6710791366906474,139
500101023,2,6.313953488372093,17.872093023255815,0.2525581395348837,0.7148837209302326,86
500101023,3,6.462686567164179,18.074626865671643,0.25850746268656716,0.7229850746268657,67
500101023,4,8.823529411764707,15.803921568627452,0.35294117647058826,0.6321568627450981,51
500101023,5,8.304761904761905,16.409523809523808,0.3321904761904762,0.6563809523809524,105
500101023,6,9.10801393728223,15.662020905923345,0.3643205574912892,0.6264808362369338,287
500101023,7,9.906976744186046,14.805496828752643,0.39627906976744187,0.5922198731501057,473
500101023,8,8.975044563279857,15.841354723707665,0.3590017825311943,0.6336541889483066,561
500101023,9,7.342967244701349,17.483622350674374,0.29371868978805393,0.699344894026975,519
500101023,10,7.333333333333333,17.360416666666666,0.29333333333333333,0.6944166666666667,480
500101023,11,8.280318091451292,16.52286282306163,0.3312127236580517,0.6609145129224652,503
500101023,12,11.097345132743364,13.72212389380531,0.4438938053097345,0.5488849557522124,565
500101023,13,11.590192644483363,13.252189141856393,0.4636077057793345,0.5300875656742557,571
500101023,14,11.798932384341636,13.064056939501778,0.4719572953736655,0.5225622775800711,562
500101023,15,11.136363636363637,13.763636363636364,0.44545454545454544,0.5505454545454546,550
500101023,16,9.551470588235293,15.332720588235293,0.3820588235294118,0.6133088235294117,544
500101023,17,11.164021164021165,13.70546737213404,0.44656084656084655,0.5482186948853616,567
500101023,18,16.283246977547496,8.587219343696027,0.6513298791018999,0.3434887737478411,579
500101023,19,17.69074074074074,7.177777777777778,0.7076296296296296,0.2871111111111111,540
500101023,20,13.381308411214953,11.491588785046728,0.5352523364485982,0.45966355140186915,535
500101023,21,7.335753176043557,17.528130671506354,0.29343012704174226,0.7011252268602541,551
500101023,22,3.1966019417475726,21.640776699029125,0.1278640776699029,0.8656310679611651,412
500101023,23,5.389655172413793,19.46206896551724,0.21558620689655172,0.7784827586206896,290
500101028,0,5.131944444444445,14.375,0.2565972222222222,0.71875,144
500101028,1,4.848101265822785,14.278481012658228,0.24240506329113923,0.7139240506329114,79
500101028,2,4.901408450704225,13.95774647887324,0.24507042253521127,0.6978873239436619,71
500101028,3,5.285714285714286,14.16326530612245,0.2642857142857143,0.7081632653061225,49
500101028,4,5.822222222222222,13.644444444444444,0.2911111111111111,0.6822222222222222,90
500101028,5,5.992647058823529,13.551470588235293,0.29963235294117646,0.6775735294117647,136
500101028,6,7.366666666666666,12.085185185185185,0.36833333333333335,0.6042592592592593,270
500101028,7,9.506276150627615,9.985355648535565,0.47531380753138075,0.4992677824267782,478
500101028,8,8.945794392523364,10.267289719626168,0.4472897196261682,0.5133644859813085,535
500101028,9,10.84349593495935,7.4227642276422765,0.5421747967479674,0.37113821138211384,492
500101028,10,11.532608695652174,6.323913043478261,0.5766304347826087,0.31619565217391304,460
500101028,11,10.237704918032787,7.725409836065574,0.5118852459016393,0.3862704918032787,488
500101028,12,8.5,9.419172932330827,0.425,0.47095864661654135,532
500101028,13,11.23721881390593,6.595092024539877,0.5618609406952966,0.32975460122699385,489
500101028,14,12.233905579399142,5.603004291845494,0.6116952789699571,0.2801502145922747,466
500101028,15,9.977319587628866,7.851546391752577,0.4988659793814433,0.39257731958762887,485
500101028,16,8.073921971252567,10.186858316221766,0.40369609856262834,0.5093429158110883,487
500101028,17,5.212765957446808,13.64990328820116,0.26063829787234044,0.682495164410058,517
500101028,18,4.26441351888668,15.071570576540756,0.213220675944334,0.7535785288270378,503
500101028,19,3.565947242206235,15.959232613908872,0.17829736211031175,0.7979616306954437,417
500101028,20,4.4795180722891565,14.987951807228916,0.22397590361445782,0.7493975903614458,415
500101028,21,4.6421052631578945,14.83157894736842,0.23210526315789473,0.741578947368421,380
500101028,22,5.2087542087542085,14.32996632996633,0.2604377104377104,0.7164983164983165,297
500101028,23,5.2957198443579765,14.245136186770427,0.26478599221789884,0.7122568093385214,257
500101029,0,4.661971830985915,10.169014084507042,0.3107981220657277,0.6779342723004694,71
500101029,1,3.8823529411764706,10.470588235294118,0.25882352941176473,0.6980392156862745,34
500101029,2,3.5652173913043477,9.91304347826087,0.23768115942028986,0.6608695652173913,23
500101029,3,4.153846153846154,10.846153846153847,0.27692307692307694,0.7230769230769231,13
500101029,4,4.571428571428571,10.214285714285714,0.3047619047619048,0.680952380952381,14
500101029,5,5.0,9.7,0.3333333333333333,0.6466666666666666,10
500101029,6,3.985074626865672,10.932835820895523,0.2656716417910448,0.7288557213930348,134
500101029,7,5.414285714285715,9.417857142857143,0.36095238095238097,0.6278571428571429,280
500101029,8,6.582697201017812,8.122137404580153,0.4388464800678541,0.5414758269720101,393
500101029,9,7.5013927576601676,6.927576601671309,0.5000928505106778,0.4618384401114206,359
500101029,10,8.388059701492537,5.88955223880597,0.5592039800995025,0.392636815920398,335
500101029,11,7.562130177514793,6.603550295857988,0.5041420118343195,0.44023668639053254,338
